assay_chembl_id,assay_organism,assay_type,assay_type_description,description,compound_ids,clinical_trial_stages
CHEMBL615198,,F,Functional,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,"CHEMBL37201, CHEMBL39385, CHEMBL39738","None, None, None"
CHEMBL615222,,F,Functional,In vitro anticancer activity against 11 NCI NSCLC cell lines; inactive,"CHEMBL37201, CHEMBL39385, CHEMBL39738","None, None, None"
CHEMBL618440,,F,Functional,In vitro anticancer activity against 6 NCI ovarian cancer cell lines; inactive,CHEMBL39738,None
CHEMBL618441,,F,Functional,In vitro anticancer activity against 6 NCI ovarian cancer cell lines; inactive,"CHEMBL37201, CHEMBL39385","None, None"
CHEMBL619299,,F,Functional,In vitro anticancer activity against 8 NCI CNS cancer cell lines; inactive,"CHEMBL37201, CHEMBL39385, CHEMBL39738","None, None, None"
CHEMBL875586,Homo sapiens,F,Functional,Anticancer activity against one renal cancer (A498 cell line),CHEMBL331852,None
CHEMBL620137,Homo sapiens,F,Functional,in vitro anticancer activity against cultured A549 human tumor(lung) cell line,"CHEMBL3706705, CHEMBL3706706, CHEMBL298359, CHEMBL3706710, CHEMBL116639, CHEMBL114060, CHEMBL3706703, CHEMBL3706707, CHEMBL3706709, CHEMBL117096, CHEMBL3706704, CHEMBL3706708, CHEMBL105","None, None, 3.0, None, None, None, None, None, None, None, None, None, 4.0"
CHEMBL876492,,F,Functional,In vitro anticancer activity against 9 NCI colon cancer cell lines; inactive,"CHEMBL37201, CHEMBL39385, CHEMBL39738","None, None, None"
CHEMBL620373,,F,Functional,In vitro anticancer activity against 9 NCI melanoma cell lines; inactive,"CHEMBL37201, CHEMBL39385, CHEMBL39738","None, None, None"
CHEMBL620374,,F,Functional,In vitro anticancer activity against 9 NCI renal cancer cell lines; inactive,"CHEMBL37201, CHEMBL39385, CHEMBL39738","None, None, None"
CHEMBL620381,Rattus norvegicus,F,Functional,Tested in vitro for anticancer activity against 9L cells,"CHEMBL355426, CHEMBL2368321, CHEMBL123292, CHEMBL185, CHEMBL169267, CHEMBL171286","None, None, -1.0, 4.0, None, None"
CHEMBL620382,Rattus norvegicus,F,Functional,Tested in vitro for anticancer activity against 9L cells; Not determined,"CHEMBL171878, CHEMBL129, CHEMBL168395, CHEMBL38700, CHEMBL354904, CHEMBL355081, CHEMBL366529, CHEMBL169434, CHEMBL171444, CHEMBL169277, CHEMBL109831","None, 4.0, None, 2.0, None, None, None, None, None, None, 2.0"
CHEMBL620107,,F,Functional,The compound was tested in vitro for anticancer activity against 9L cells,CHEMBL2368322,None
CHEMBL876490,Homo sapiens,F,Functional,In vitro anticancer activity against human lung (A549) cell line,"CHEMBL445889, CHEMBL71325","None, None"
CHEMBL620345,Homo sapiens,F,Functional,In vitro anticancer activity against human lung (A549) cell line,CHEMBL71325,None
CHEMBL625294,Homo sapiens,F,Functional,Anticancer activity against human ovarian carcinoma A121 cells,CHEMBL147905,None
CHEMBL623584,Homo sapiens,F,Functional,In vitro anticancer activity against ACHN renal cancer cell line,"CHEMBL96567, CHEMBL421382, CHEMBL94045, CHEMBL329072, CHEMBL327794, CHEMBL95111","None, None, None, None, None, None"
CHEMBL654037,Mus musculus,F,Functional,Evaluated for anticancer activity in survival tumor system B16 melanocarcinoma at a dose of 12.5 mg/kg; Number of Tested survived/number of control survived (9/10),CHEMBL8624,None
CHEMBL654038,Mus musculus,F,Functional,Evaluated for anticancer activity in survival tumor system B16 melanocarcinoma at a dose of 200 mg/kg; Number of Tested survived/number of control survived (4/10),CHEMBL8624,None
CHEMBL654039,Mus musculus,F,Functional,Evaluated for anticancer activity in survival tumor system B16 melanocarcinoma at a dose of 50 mg/kg; number of Tested survived/number of control survived,CHEMBL8624,None
