drug_name,resource_url
Afinitor (Everolimus),https://www.cancer.gov/about-cancer/treatment/drugs/everolimus
Atezolizumab,https://www.cancer.gov/about-cancer/treatment/drugs/atezolizumab
Doxorubicin Hydrochloride,https://www.cancer.gov/about-cancer/treatment/drugs/doxorubicinhydrochloride
Durvalumab,https://www.cancer.gov/about-cancer/treatment/drugs/durvalumab
Etopophos (Etoposide Phosphate),https://www.cancer.gov/about-cancer/treatment/drugs/etoposidephosphate
Etoposide,https://www.cancer.gov/about-cancer/treatment/drugs/etoposide
Etoposide Phosphate,https://www.cancer.gov/about-cancer/treatment/drugs/etoposidephosphate
Everolimus,https://www.cancer.gov/about-cancer/treatment/drugs/everolimus
Hycamtin (Topotecan Hydrochloride),https://www.cancer.gov/about-cancer/treatment/drugs/topotecanhydrochloride
Imfinzi (Durvalumab),https://www.cancer.gov/about-cancer/treatment/drugs/durvalumab
Lurbinectedin,https://www.cancer.gov/about-cancer/treatment/drugs/lurbinectedin
Methotrexate Sodium,https://www.cancer.gov/about-cancer/treatment/drugs/methotrexate
Nivolumab,https://www.cancer.gov/about-cancer/treatment/drugs/nivolumab
Opdivo (Nivolumab),https://www.cancer.gov/about-cancer/treatment/drugs/nivolumab
Tecentriq (Atezolizumab),https://www.cancer.gov/about-cancer/treatment/drugs/atezolizumab
Topotecan Hydrochloride,https://www.cancer.gov/about-cancer/treatment/drugs/topotecanhydrochloride
Trexall (Methotrexate Sodium) ,https://www.cancer.gov/about-cancer/treatment/drugs/methotrexate
Zepzelca (Lurbinectedin),https://www.cancer.gov/about-cancer/treatment/drugs/lurbinectedin
