drug_name,resource_url
Abemaciclib,https://www.cancer.gov/about-cancer/treatment/drugs/abemaciclib
Abraxane (Paclitaxel Albumin-stabilized Nanoparticle Formulation),https://www.cancer.gov/about-cancer/treatment/drugs/nanoparticlepaclitaxel
Ado-Trastuzumab Emtansine,https://www.cancer.gov/about-cancer/treatment/drugs/ado-trastuzumab-emtansine
Afinitor (Everolimus),https://www.cancer.gov/about-cancer/treatment/drugs/everolimus
	Afinitor Disperz (Everolimus),https://www.cancer.gov/about-cancer/treatment/drugs/alpelisib
Alpelisib,https://www.cancer.gov/about-cancer/treatment/drugs/anastrozole
Anastrozole,https://www.cancer.gov/about-cancer/treatment/drugs/pamidronatedisodium
Arimidex (Anastrozole),https://www.cancer.gov/about-cancer/treatment/drugs/exemestane
Aromasin (Exemestane),https://www.cancer.gov/about-cancer/treatment/drugs/capecitabine
Capecitabine,https://www.cancer.gov/about-cancer/treatment/drugs/capivasertib
Capivasertib,https://www.cancer.gov/about-cancer/treatment/drugs/cyclophosphamide
Cyclophosphamide,https://www.cancer.gov/about-cancer/treatment/drugs/docetaxel
Docetaxel,https://www.cancer.gov/about-cancer/treatment/drugs/doxorubicinhydrochloride
Doxorubicin Hydrochloride,https://www.cancer.gov/about-cancer/treatment/drugs/elacestrant-dihydrochloride
Elacestrant Dihydrochloride,https://www.cancer.gov/about-cancer/treatment/drugs/epirubicinhydrochloride
Ellence (Epirubicin Hydrochloride),https://www.cancer.gov/about-cancer/treatment/drugs/famtrastuzumabderuxtecan-nxki
Epirubicin Hydrochloride,https://www.cancer.gov/about-cancer/treatment/drugs/eribulinmesylate
Exemestane,https://www.cancer.gov/about-cancer/treatment/drugs/fluorouracil
Fam-Trastuzumab Deruxtecan-nxki,https://www.cancer.gov/about-cancer/treatment/drugs/toremifene
Fareston (Toremifene),https://www.cancer.gov/about-cancer/treatment/drugs/fulvestrant
Faslodex (Fulvestrant),https://www.cancer.gov/about-cancer/treatment/drugs/letrozole
Fulvestrant,https://www.cancer.gov/about-cancer/treatment/drugs/gemcitabinehydrochloride
Gemzar (Gemcitabine Hydrochloride),https://www.cancer.gov/about-cancer/treatment/drugs/goserelinacetate
Halaven (Eribulin Mesylate),https://www.cancer.gov/about-cancer/treatment/drugs/trastuzumabandhyaluronidase-oysk
Herceptin Hylecta (Trastuzumab and Hyaluronidase-oysk),https://www.cancer.gov/about-cancer/treatment/drugs/trastuzumab
Herceptin (Trastuzumab),https://www.cancer.gov/about-cancer/treatment/drugs/palbociclib
Ixabepilone,https://www.cancer.gov/about-cancer/treatment/drugs/ixabepilone
Keytruda (Pembrolizumab),https://www.cancer.gov/about-cancer/treatment/drugs/pembrolizumab
Kisqali (Ribociclib),https://www.cancer.gov/about-cancer/treatment/drugs/ribociclib
Lapatinib Ditosylate,https://www.cancer.gov/about-cancer/treatment/drugs/lapatinibditosylate
Lynparza (Olaparib),https://www.cancer.gov/about-cancer/treatment/drugs/olaparib
Margenza (Margetuximab-cmkb),https://www.cancer.gov/about-cancer/treatment/drugs/margetuximab-cmkb
Megestrol Acetate,https://www.cancer.gov/about-cancer/treatment/drugs/megestrolacetate
Methotrexate Sodium,https://www.cancer.gov/about-cancer/treatment/drugs/methotrexate
Neratinib Maleate,https://www.cancer.gov/about-cancer/treatment/drugs/neratinibmaleate
Paclitaxel,https://www.cancer.gov/about-cancer/treatment/drugs/paclitaxel
Perjeta (Pertuzumab),https://www.cancer.gov/about-cancer/treatment/drugs/pertuzumab
"Pertuzumab, Trastuzumab, and Hyaluronidase-zzxf",https://www.cancer.gov/about-cancer/treatment/drugs/pertuzumabtrastuzumabandhyaluronidase-zzxf
Sacituzumab Govitecan-hziy,https://www.cancer.gov/about-cancer/treatment/drugs/sacituzumabgovitecan-hziy
Soltamox (Tamoxifen Citrate),https://www.cancer.gov/about-cancer/treatment/drugs/tamoxifencitrate
Talazoparib Tosylate,https://www.cancer.gov/about-cancer/treatment/drugs/talazoparibtosylate
Tecentriq (Atezolizumab),https://www.cancer.gov/about-cancer/treatment/drugs/atezolizumab
Tepadina (Thiotepa),https://www.cancer.gov/about-cancer/treatment/drugs/thiotepa
Tucatinib,https://www.cancer.gov/about-cancer/treatment/drugs/tucatinib
Vinblastine Sulfate,https://www.cancer.gov/about-cancer/treatment/drugs/vinblastinesulfate
