drug_name,resource_url
Abraxane (Paclitaxel Albumin-stabilized Nanoparticle Formulation),https://www.cancer.gov/about-cancer/treatment/drugs/nanoparticlepaclitaxel
Adagrasib,https://www.cancer.gov/about-cancer/treatment/drugs/adagrasib
Afatinib Dimaleate,https://www.cancer.gov/about-cancer/treatment/drugs/afatinibdimaleate
Afinitor (Everolimus),https://www.cancer.gov/about-cancer/treatment/drugs/everolimus
	Afinitor Disperz (Everolimus),https://www.cancer.gov/about-cancer/treatment/drugs/alectinib
Alectinib,https://www.cancer.gov/about-cancer/treatment/drugs/pemetrexeddisodium
Alimta (Pemetrexed Disodium),https://www.cancer.gov/about-cancer/treatment/drugs/brigatinib
Alunbrig (Brigatinib) ,https://www.cancer.gov/about-cancer/treatment/drugs/bevacizumab
Alymsys (Bevacizumab),https://www.cancer.gov/about-cancer/treatment/drugs/amivantamab-vmjw
Amivantamab-vmjw,https://www.cancer.gov/about-cancer/treatment/drugs/atezolizumab
Atezolizumab,https://www.cancer.gov/about-cancer/treatment/drugs/repotrectinib
Bevacizumab,https://www.cancer.gov/about-cancer/treatment/drugs/binimetinib
Binimetinib,https://www.cancer.gov/about-cancer/treatment/drugs/encorafenib
Brigatinib,https://www.cancer.gov/about-cancer/treatment/drugs/capmatinibhydrochloride
Capmatinib Hydrochloride,https://www.cancer.gov/about-cancer/treatment/drugs/cemiplimab-rwlc
Cemiplimab-rwlc,https://www.cancer.gov/about-cancer/treatment/drugs/ceritinib
Ceritinib,https://www.cancer.gov/about-cancer/treatment/drugs/crizotinib
Crizotinib,https://www.cancer.gov/about-cancer/treatment/drugs/ramucirumab
Cyramza (Ramucirumab),https://www.cancer.gov/about-cancer/treatment/drugs/dabrafenib
Dabrafenib Mesylate,https://www.cancer.gov/about-cancer/treatment/drugs/dacomitinib
Dacomitinib,https://www.cancer.gov/about-cancer/treatment/drugs/docetaxel
Docetaxel,https://www.cancer.gov/about-cancer/treatment/drugs/dexrazoxanehydrochloride
Doxorubicin Hydrochloride,https://www.cancer.gov/about-cancer/treatment/drugs/durvalumab
Encorafenib,https://www.cancer.gov/about-cancer/treatment/drugs/famtrastuzumabderuxtecan-nxki
Erlotinib Hydrochloride,https://www.cancer.gov/about-cancer/treatment/drugs/entrectinib
Everolimus,https://www.cancer.gov/about-cancer/treatment/drugs/erlotinibhydrochloride
Gefitinib,https://www.cancer.gov/about-cancer/treatment/drugs/pralsetinib
Gilotrif (Afatinib Dimaleate),https://www.cancer.gov/about-cancer/treatment/drugs/gefitinib
Gemzar (Gemcitabine Hydrochloride),https://www.cancer.gov/about-cancer/treatment/drugs/gemcitabinehydrochloride
Infugem (Gemcitabine Hydrochloride),https://www.cancer.gov/about-cancer/treatment/drugs/tremelimumab-actl
Iressa (Gefitinib),https://www.cancer.gov/about-cancer/treatment/drugs/ipilimumab
Krazati (Adagrasib),https://www.cancer.gov/about-cancer/treatment/drugs/pembrolizumab
Lorlatinib,https://www.cancer.gov/about-cancer/treatment/drugs/lorlatinib
Mekinist (Trametinib Dimethyl Sulfoxide),https://www.cancer.gov/about-cancer/treatment/drugs/sotorasib
Mektovi (Binimetinib),https://www.cancer.gov/about-cancer/treatment/drugs/trametinib
Mvasi (Bevacizumab),https://www.cancer.gov/about-cancer/treatment/drugs/methotrexate
Nivolumab,https://www.cancer.gov/about-cancer/treatment/drugs/necitumumab
Opdivo (Nivolumab),https://www.cancer.gov/about-cancer/treatment/drugs/nivolumab
Paclitaxel,https://www.cancer.gov/about-cancer/treatment/drugs/osimertinib
Paclitaxel Albumin-stabilized Nanoparticle Formulation,https://www.cancer.gov/about-cancer/treatment/drugs/paclitaxel
Rozlytrek (Entrectinib),https://www.cancer.gov/about-cancer/treatment/drugs/selpercatinib
Tepotinib Hydrochloride,https://www.cancer.gov/about-cancer/treatment/drugs/tepotinibhydrochloride
Xalkori (Crizotinib),https://www.cancer.gov/about-cancer/treatment/drugs/vinorelbinetartrate
