aidx;assay_category;assay_cell_type;assay_chembl_id;assay_classifications;assay_organism;assay_parameters;assay_strain;assay_subcellular_fraction;assay_tax_id;assay_test_type;assay_tissue;assay_type;assay_type_description;bao_format;bao_label;cell_chembl_id;confidence_description;confidence_score;description;document_chembl_id;relationship_description;relationship_type;src_assay_id;src_id;target_chembl_id;tissue_chembl_id;variant_sequence
CLD0;;A-375;CHEMBL618622;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3308077;Target assigned is non-molecular;1;Tested in vitro against A-375 cell line human melanoma;CHEMBL1126568;Non-molecular target assigned;N;;1;CHEMBL613859;;
CLD0;;;CHEMBL635477;[];;[];;;;;;P;Physicochemical;BAO_0000100;small-molecule physicochemical format;;Default value - Target unknown or has yet to be assigned;0;Partition coefficient (logD7.4);CHEMBL1124835;Default value - Target has yet to be curated;U;;1;CHEMBL2362975;;
CLD0;;;CHEMBL633721;[];;[];;;;;;P;Physicochemical;BAO_0000100;small-molecule physicochemical format;;Default value - Target unknown or has yet to be assigned;0;Partition coefficient (logP);CHEMBL1122587;Default value - Target has yet to be curated;U;;1;CHEMBL2362975;;
CLD0;;AMML;CHEMBL641185;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307901;Target assigned is non-molecular;1;Compound was tested for the inhibition of AMML (acute myelomonocytic leukemia);CHEMBL1123247;Non-molecular target assigned;N;;1;CHEMBL614270;;
CLD0;;B16;CHEMBL648676;[];Mus musculus;[];;;10090.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3308454;Target assigned is non-molecular;1;In vitro inhibitory activity against Mouse melanoma (B16) cell line.;CHEMBL1125609;Non-molecular target assigned;N;;1;CHEMBL381;;
CLD0;;B16;CHEMBL650753;[];Mus musculus;[];;;10090.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3308454;Target assigned is non-molecular;1;Tested in vitro inhibitory activity against murine B16 melanoma cells line;CHEMBL1126561;Non-molecular target assigned;N;;1;CHEMBL381;;
CLD0;;;CHEMBL650218;[];;[];;;;;;F;Functional;BAO_0000019;assay format;;Multiple homologous protein targets may be assigned;4;"Beta-blocking activity measured by applying the stepwise linear discriminate analysis; Inactive";CHEMBL1129855;Homologous protein target assigned;H;;1;CHEMBL2094118;;
CLD0;;BSC-1;CHEMBL652997;[];Cercopithecidae;[];;;9527.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307388;Target assigned is non-molecular;1;Inhibition of cellular DNA synthesis in BSCL cells at the dose of 1.4 ug/mL.;CHEMBL1122461;Non-molecular target assigned;N;;1;CHEMBL614528;;
CLD0;;Osteoclast-like;CHEMBL650359;[];Mus musculus;[];;;10090.0;;Bone element;F;Functional;BAO_0000219;cell-based format;CHEMBL3307605;Target assigned is non-molecular;1;Percent inhibition of [123I]UdR incorporation in the DNA synthesis assay in bone marrow cells at a concentration of 10 e-3 M;CHEMBL1122387;Non-molecular target assigned;N;;1;CHEMBL614359;CHEMBL3638214;
CLD0;;CAKI-1;CHEMBL654989;[];Mus sp.;[];;;10095.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307522;Target assigned is non-molecular;1;In vitro cytotoxicity was evaluated against renal CAKI-1 cells;CHEMBL1133006;Non-molecular target assigned;N;;1;CHEMBL614067;;
CLD0;;CCRF-CEM;CHEMBL649978;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307641;Target assigned is non-molecular;1;Concentration required for 50% inhibition of cell growth of CCRF CEM leukemic cell lines in human.;CHEMBL1125887;Non-molecular target assigned;N;;1;CHEMBL382;;
CLD0;;CCRF-CEM;CHEMBL657627;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307641;Target assigned is non-molecular;1;Inhibit the replication of CCRF-CEM cell line in vitro.;CHEMBL1125248;Non-molecular target assigned;N;;1;CHEMBL382;;
CLD0;;MCF7;CHEMBL651490;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3308403;Target assigned is non-molecular;1;Anticancer activity carried out in vitro against breast carcinoma MCF-7;CHEMBL1134486;Non-molecular target assigned;N;;1;CHEMBL387;;
CLD0;;CCRF-CEM;CHEMBL656070;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307641;Target assigned is non-molecular;1;Cytotoxicity against CCRF-CEM human leukemic lymphoblastoid cell lines;CHEMBL1122440;Non-molecular target assigned;N;;1;CHEMBL382;;
CLD0;;CCRF-CEM;CHEMBL656080;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307641;Target assigned is non-molecular;1;In vitro cytotoxicity of compounds were determined on Inhibition of human leukemia cell line(CCRF-CEM). ;CHEMBL1129397;Non-molecular target assigned;N;;1;CHEMBL382;;
CLD0;;CCRF-CEM;CHEMBL656083;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307641;Target assigned is non-molecular;1;In vitro inhibitory activity against Human T-cell acute lymphoblastoid leukemia (CCRF CEM) cell line.;CHEMBL1125609;Non-molecular target assigned;N;;1;CHEMBL382;;
CLD0;;CCRF-CEM;CHEMBL652485;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307641;Target assigned is non-molecular;1;In vitro concentration required for 50% inhibition of growth of human leukemia cell line CCRF-CEM with hPAP (0.2 unit/mL);CHEMBL1133824;Non-molecular target assigned;N;;1;CHEMBL382;;
CLD0;;CCRF-CEM;CHEMBL652486;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307641;Target assigned is non-molecular;1;In vitro concentration required for 50% inhibition of growth of human leukemia cell line CCRF-CEM without hPAP (0.2 unit/mL);CHEMBL1133824;Non-molecular target assigned;N;;1;CHEMBL382;;
CLD0;;CCRF-CEM;CHEMBL654283;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307641;Target assigned is non-molecular;1;Concentration required to inhibit replication of CCRF-CEM cell lines by 50% after 72 hr incubation;CHEMBL1125190;Non-molecular target assigned;N;;1;CHEMBL382;;
CLD0;;CCRF-CEM;CHEMBL653253;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307641;Target assigned is non-molecular;1;Concentration required to inhibit replication of CCRF-CEM deoxycytidine kinase deficient variant CCRF-CEM(dCK-);CHEMBL1125190;Non-molecular target assigned;N;;1;CHEMBL382;;
CLD0;;CCRF-CEM/ara-C;CHEMBL653264;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307392;Target assigned is non-molecular;1;Cytotoxicity against CCRF-CEM/ara-C human leukemic lymphoblastoid cell lines;CHEMBL1122440;Non-molecular target assigned;N;;1;CHEMBL614539;;
CLD0;;CCRF-HSB-2;CHEMBL653265;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307642;Target assigned is non-molecular;1;Antiproliferative effects on CCRF-HSB-2 (human leukemia) cells.;CHEMBL1130421;Non-molecular target assigned;N;;1;CHEMBL614541;;
CLD0;;CCRF-CEM;CHEMBL651477;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307641;Target assigned is non-molecular;1;In vitro inhibitory effect on growth of human T-cell acute lymphoblastoid leukemic CCRFCEM cell lines.;CHEMBL1124118;Non-molecular target assigned;N;;1;CHEMBL382;;
CLD0;;CHO;CHEMBL876078;[];Cricetulus griseus;[];;;10029.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3308072;Target assigned is non-molecular;1;Effect on cross resistance of CHO cells resistant to colchicine (CHRC5);CHEMBL1124835;Non-molecular target assigned;N;;1;CHEMBL613853;;
CLD0;;CML/BC;CHEMBL659398;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3308655;Target assigned is non-molecular;1;Compound was tested for the inhibition of CML/BC(chronic myeloid leukemia, blast crisis);CHEMBL1123247;Non-molecular target assigned;N;;1;CHEMBL614800;;
CLD0;;DLD-1;CHEMBL664537;[];Mus sp.;[];;;10095.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307580;Target assigned is non-molecular;1;In vitro cytotoxicity was evaluated against colon DLD-1 cells;CHEMBL1133006;Non-molecular target assigned;N;;1;CHEMBL614285;;
CLD0;;;CHEMBL665304;[];;[];;;;;;B;Binding;BAO_0000357;single protein format;;Homologous single protein target assigned;8;Inhibition of cytidine deaminase partially purified from mouse kidney.;CHEMBL1122440;Homologous protein target assigned;H;;1;CHEMBL2110;;
CLD0;;;CHEMBL665311;[];;[];;;;;;B;Binding;BAO_0000357;single protein format;;Homologous single protein target assigned;8;Inhibitory constant was measured on cytidine/deoxycytidine deaminase;CHEMBL1125190;Homologous protein target assigned;H;;1;CHEMBL4502;;
CLD0;;Epithelial cell;CHEMBL664749;[];;[];;;;;;B;Binding;BAO_0000219;cell-based format;CHEMBL3307627;Target assigned is molecular non-protein target;3;The compound was tested for its ability to inhibit the incorporation of tritiated thymidine into mammalian epithelial cells (DNA) at 30 uM dose;CHEMBL1125851;Molecular target other than protein assigned;M;;1;CHEMBL345;;
CLD0;;;CHEMBL657234;[];Homo sapiens;[];;;9606.0;;;B;Binding;BAO_0000019;assay format;;Homologous single protein target assigned;8;Rate of deamination was determined against deaminase purified from human acute myeloblastic leukemia cells;CHEMBL1123554;Homologous protein target assigned;H;;1;CHEMBL2448;;
CLD0;;;CHEMBL657235;[];Homo sapiens;[];;;9606.0;;;B;Binding;BAO_0000019;assay format;;Homologous single protein target assigned;8;Relative velocity was determined against deaminase purified from human acute myeloblastic leukemia cells;CHEMBL1123554;Homologous protein target assigned;H;;1;CHEMBL2448;;
CLD0;;;CHEMBL663661;[];;[];;;;;;B;Binding;BAO_0000357;single protein format;;Homologous single protein target assigned;8;Inhibitory concentration against Drosophila melanogaster deoxyribonucleoside kinase (Dm-dNK);CHEMBL1134069;Homologous protein target assigned;H;;1;CHEMBL4760;;
CLD0;;L5178Y;CHEMBL669614;[];;[];;;;;;B;Binding;BAO_0000219;cell-based format;CHEMBL3307690;Homologous single protein target assigned;8;Inhibitory activity against dihydrofolate reductase (DHFR) isolated from murine L5178Y tumor cells resistant and sensitive to methotrexate;CHEMBL1122587;Homologous protein target assigned;H;;1;CHEMBL4564;;
CLD0;;G-401;CHEMBL679422;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3308394;Target assigned is non-molecular;1;Tested in vitro against human ovarian cancer cells (G-401) for anticancer activity at dose 0 uM (Cell number 1*10 e-4);CHEMBL1127382;Non-molecular target assigned;N;;1;CHEMBL613509;;
CLD0;;G-401;CHEMBL679425;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3308394;Target assigned is non-molecular;1;Tested in vitro against human ovarian cancer cells (G-401) for anticancer activity at dose 1 uM (Cell number 1*10 e-4);CHEMBL1127382;Non-molecular target assigned;N;;1;CHEMBL613509;;
CLD0;;G-401;CHEMBL679427;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3308394;Target assigned is non-molecular;1;Tested in vitro against human ovarian cancer cells (G-401) for anticancer activity at dose 10 uM (Cell number 1*10 e-4);CHEMBL1127382;Non-molecular target assigned;N;;1;CHEMBL613509;;
CLD0;;G-401;CHEMBL679587;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3308394;Target assigned is non-molecular;1;Tested in vitro against human ovarian cancer cells (G-401) for anticancer activity at dose 100 uM (Cell number 1*10 e-4);CHEMBL1127382;Non-molecular target assigned;N;;1;CHEMBL613509;;
CLD0;;Glioblastoma cell line;CHEMBL681014;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3308593;Target assigned is non-molecular;1;Compound was tested for the inhibition of glioblastoma;CHEMBL1123247;Non-molecular target assigned;N;;1;CHEMBL614503;;
CLD0;;HL-60;CHEMBL871954;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307654;Target assigned is non-molecular;1;Inhibitory activity against HL-60 (human, promyelocytic leukemia) cell line;CHEMBL1145096;Non-molecular target assigned;N;;1;CHEMBL383;;
CLD0;;HL-60;CHEMBL686516;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307654;Target assigned is non-molecular;1;Anticancer activity was evaluated for the compound against parent promyelocytic leukemia cell line (HL-60-GHPRT+/dCK+);CHEMBL1123319;Non-molecular target assigned;N;;1;CHEMBL383;;
CLD0;;HL-60;CHEMBL686517;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307654;Target assigned is non-molecular;1;Anticancer activity of the compound against ara-C resistant promyelocytic leukemia cell line that is Cyd-kinase deficient (HL-60-HGPRT-/dCK-) is determined;CHEMBL1123319;Non-molecular target assigned;N;;1;CHEMBL383;;
CLD0;;HL-60;CHEMBL688698;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307654;Target assigned is non-molecular;1;In vitro inhibitory activity against Human promyelocytic leukemia (HL-60) cell line.;CHEMBL1125609;Non-molecular target assigned;N;;1;CHEMBL383;;
CLD0;;HL-60;CHEMBL687280;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307654;Target assigned is non-molecular;1;The cytotoxic activity in HL-60 cells;CHEMBL1130401;Non-molecular target assigned;N;;1;CHEMBL383;;
CLD0;;HL-60;CHEMBL688795;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307654;Target assigned is non-molecular;1;Differentiating activity of compound in HL60 cells at conc 0.016 ug/mL;CHEMBL1130401;Non-molecular target assigned;N;;1;CHEMBL383;;
CLD0;;HL-60;CHEMBL684637;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307654;Target assigned is non-molecular;1;Differentiating activity of compound in HL60 cells at conc 0.08 ug/mL;CHEMBL1130401;Non-molecular target assigned;N;;1;CHEMBL383;;
CLD0;;HL-60;CHEMBL684640;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307654;Target assigned is non-molecular;1;Differentiating activity of compound in HL60 cells at conc 0.4 ug/mL;CHEMBL1130401;Non-molecular target assigned;N;;1;CHEMBL383;;
CLD0;;HL-60;CHEMBL695272;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307654;Target assigned is non-molecular;1;Compound was tested for the inhibition of human HL60 Leukemia;CHEMBL1123247;Non-molecular target assigned;N;;1;CHEMBL383;;
CLD0;;HL-60;CHEMBL689641;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307654;Target assigned is non-molecular;1;In vitro concentration required to induce apoptosis in HL60 cells;CHEMBL1144989;Non-molecular target assigned;N;;1;CHEMBL383;;
