"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL4409428";"B";"Inhibition of recombinant human C-terminal His8-tagged IDH1 R132C mutant expressed in Escherichia coli BL21 assessed as reduction in NADPH consumption using alpha-ketoglutarate as substrate preincubated for 60 mins followed by substrate addition and measured for 60 mins in presence of NADPH by diaphorase/resazurin-based fluorescence assay";"Homo sapiens";"26";"26";"BAO_0000019";"assay format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL4406857";"31561044";"10.1016/j.ejmech.2019.111694";"2019";"Eur J Med Chem";"183";"111694";"111694";"";"";"";"";"O75874";"R132C"
"CHEMBL4309332";"T";"Toxicity in patient with IDH1 mutated cholangio carcinoma assessed as vomiting at 100 to 1200 mg administered once daily for 28 days relative to control";"Homo sapiens";"1";"1";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL4308836";"29847930";"10.1021/acs.jmedchem.8b00159";"2018";"J Med Chem";"61";"8981";"9003";"";"";"";"";"";""
"CHEMBL4309333";"T";"Toxicity in patient with IDH1 mutated cholangio carcinoma assessed as febrile neutropenia at 100 to 1200 mg administered once daily for 28 days relative to control";"Homo sapiens";"1";"1";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL4308836";"29847930";"10.1021/acs.jmedchem.8b00159";"2018";"J Med Chem";"61";"8981";"9003";"";"";"";"";"";""
"CHEMBL4409436";"A";"Cmax in ICR mouse at 5 mg/kg, po measured upto 24 hrs by LCMS analysis";"Mus musculus";"7";"7";"BAO_0000218";"organism-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"ICR";"Scientific Literature";"10090";"";"";"";"";"CHEMBL4406857";"31561044";"10.1016/j.ejmech.2019.111694";"2019";"Eur J Med Chem";"183";"111694";"111694";"";"";"";"";"";""
"CHEMBL4409440";"A";"Drug uptake in plasma of athymic BALB/c nude mouse xenografted with human HT1080 cells at 50 mg/kg, po administered as a single dose via gavage measured upto 24 hrs post dosing by LC-MS/MS analysis";"Mus musculus";"1";"1";"BAO_0000218";"organism-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"BALB/c";"Scientific Literature";"10090";"CHEMBL3559721";"Plasma";"";"";"CHEMBL4406857";"31561044";"10.1016/j.ejmech.2019.111694";"2019";"Eur J Med Chem";"183";"111694";"111694";"";"";"";"";"";""
"CHEMBL4309329";"T";"Toxicity in patient with IDH1 mutated cholangio carcinoma assessed as fatigue at 100 to 1200 mg administered once daily for 28 days relative to control";"Homo sapiens";"1";"1";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL4308836";"29847930";"10.1021/acs.jmedchem.8b00159";"2018";"J Med Chem";"61";"8981";"9003";"";"";"";"";"";""
"CHEMBL4812388";"B";"Inhibition of IDH1 R132H mutant (unknown origin) assessed as reduction in NADPH consumption using alpha-KG as substrate incubated for 5 mins by diaphorase/resazurin-coupled system";"Homo sapiens";"91";"95";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL4811250";"33822623";"10.1021/acs.jmedchem.1c00019";"2021";"J Med Chem";"64";"4913";"4946";"";"";"";"";"O75874";"R132H"
"CHEMBL4812390";"B";"Inhibition of IDH1 R132C mutant (unknown origin) assessed as reduction in NADPH consumption using alpha-KG as substrate incubated for 5 mins by diaphorase/resazurin-coupled system";"Homo sapiens";"77";"81";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL4811250";"33822623";"10.1021/acs.jmedchem.1c00019";"2021";"J Med Chem";"64";"4913";"4946";"";"";"";"";"O75874";"R132C"
"CHEMBL4409434";"A";"Half life in ICR mouse at 1 mg/kg, iv measured upto 24 hrs by LCMS analysis";"Mus musculus";"7";"7";"BAO_0000218";"organism-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"ICR";"Scientific Literature";"10090";"";"";"";"";"CHEMBL4406857";"31561044";"10.1016/j.ejmech.2019.111694";"2019";"Eur J Med Chem";"183";"111694";"111694";"";"";"";"";"";""
"CHEMBL4409435";"A";"AUC in ICR mouse at 1 mg/kg, iv measured upto 24 hrs by LCMS analysis";"Mus musculus";"7";"7";"BAO_0000218";"organism-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"ICR";"Scientific Literature";"10090";"";"";"";"";"CHEMBL4406857";"31561044";"10.1016/j.ejmech.2019.111694";"2019";"Eur J Med Chem";"183";"111694";"111694";"";"";"";"";"";""
