"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL739006";"F";"Number of survivors of DBA2 mice on 30th day after inoculation with L1210 leukemia cell line intravenously at a dose of 5 mg/kg/day; 0/10";"Mus musculus";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"L1210";"";"CHEMBL1122917";"4020828";"10.1021/jm00146a017";"1985";"J Med Chem";"28";"1079";"1088";"standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS | ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"Leukemia Oncology Models | Leukemia Oncology Models";"General Leukemia | L1210 Experimental Leukemia";"";""
"CHEMBL741835";"F";"Number of survivors of DBA2 mice on 60th day after inoculation with L1210 leukemia cell line intravenously at a dose of 2.5 mg/kg/day; 0/10";"Mus musculus";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"L1210";"";"CHEMBL1122917";"4020828";"10.1021/jm00146a017";"1985";"J Med Chem";"28";"1079";"1088";"standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS | ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"Leukemia Oncology Models | Leukemia Oncology Models";"General Leukemia | L1210 Experimental Leukemia";"";""
"CHEMBL817773";"B";"beta-Tubulin GTPase activity at 10 uM concentration.";"";"4";"4";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1134638";"11741473";"10.1021/jm010940+";"2001";"J Med Chem";"44";"4535";"4553";"";"";"";"";"";""
"CHEMBL739904";"F";"Percent increase in life span of DBA2 mice after inoculation with L1210 leukemia intravenously at a dose of 3.5 mg/kg per day";"Mus musculus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"";"";"CHEMBL1122917";"4020828";"10.1021/jm00146a017";"1985";"J Med Chem";"28";"1079";"1088";"standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS | ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"Leukemia Oncology Models | Leukemia Oncology Models";"General Leukemia | L1210 Experimental Leukemia";"";""
"CHEMBL739001";"F";"Number of survivors of DBA2 mice on 30th day after inoculation with L1210 leukemia cell line intravenously at a dose of 4 mg/kg/day; 0/10";"Mus musculus";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"L1210";"";"CHEMBL1122917";"4020828";"10.1021/jm00146a017";"1985";"J Med Chem";"28";"1079";"1088";"standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS | ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"Leukemia Oncology Models | Leukemia Oncology Models";"General Leukemia | L1210 Experimental Leukemia";"";""
"CHEMBL741226";"F";"Number of survivors of DBA2 mice on 30th day after inoculation with L1210 leukemia cell line intraperitoneally at a dose of 2.7 mg/kg/day; 0/11";"Mus musculus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"L1210";"";"CHEMBL1122917";"4020828";"10.1021/jm00146a017";"1985";"J Med Chem";"28";"1079";"1088";"standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS | ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"Leukemia Oncology Models | Leukemia Oncology Models";"General Leukemia | L1210 Experimental Leukemia";"";""
"CHEMBL741075";"F";"Number of survivors of DBA2 mice on 30th day after inoculation with L1210 leukemia cell line intraperitoneally at a dose of 0.33 mg/kg/day; 0/10";"Mus musculus";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"L1210";"";"CHEMBL1122917";"4020828";"10.1021/jm00146a017";"1985";"J Med Chem";"28";"1079";"1088";"standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS | ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"Leukemia Oncology Models | Leukemia Oncology Models";"General Leukemia | L1210 Experimental Leukemia";"";""
"CHEMBL901939";"F";"Cell cycle arrest in KB/HeLa cells assessed as accumulation at S phase at 3.16 nM after 24 hrs by flow cytometric analysis";"Homo sapiens";"6";"6";"BAO_0000219";"cell-based format";"3";"3 - Target assigned is molecular non-protein target";"";"Scientific Literature";"9606";"";"";"KB ";"";"CHEMBL1138290";"17973361";"10.1021/jm0708984";"2007";"J Med Chem";"50";"6059";"6066";"";"";"";"";"";""
"CHEMBL913044";"F";"Cell cycle arrest in KB/HeLa cells by accumulation at S phase at 3.16 nM";"Homo sapiens";"5";"5";"BAO_0000219";"cell-based format";"3";"3 - Target assigned is molecular non-protein target";"";"Scientific Literature";"9606";"";"";"KB ";"";"CHEMBL1138222";"17181164";"10.1021/jm0605031";"2006";"J Med Chem";"49";"7816";"7825";"";"";"";"";"";""
"CHEMBL855046";"F";"Antiproliferative activity against multidrug resistant MDA435/LCC6 cells in presence of 5 uM verapamil by ELISA";"Homo sapiens";"6";"6";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9606";"";"";"MDA-MB-435";"";"CHEMBL1137344";"17154505";"10.1021/jm060593+";"2006";"J Med Chem";"49";"6742";"6759";"";"";"";"";"";""
