"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL1908760";"B";"Binding constant for PLK2 kinase domain";"";"72";"72";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1908390";"22037378";"10.1038/nbt.1990";"2011";"Nat Biotechnol";"29";"1046";"1051";"";"";"";"";"";""
"CHEMBL1051316";"B";"Binding constant for full-length TSSK1";"Homo sapiens";"38";"38";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL1150977";"18183025";"10.1038/nbt1358";"2008";"Nat Biotechnol";"26";"127";"132";"";"";"";"";"";""
"CHEMBL1037553";"B";"Binding constant for MERTK kinase domain";"Homo sapiens";"38";"38";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL1150977";"18183025";"10.1038/nbt1358";"2008";"Nat Biotechnol";"26";"127";"132";"";"";"";"";"";""
"CHEMBL1908508";"B";"Binding constant for PAK4 kinase domain";"";"72";"72";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1908390";"22037378";"10.1038/nbt.1990";"2011";"Nat Biotechnol";"29";"1046";"1051";"";"";"";"";"";""
"CHEMBL1908414";"B";"Binding constant for JNK2 kinase domain";"";"72";"72";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1908390";"22037378";"10.1038/nbt.1990";"2011";"Nat Biotechnol";"29";"1046";"1051";"";"";"";"";"";""
"CHEMBL1908660";"B";"Binding constant for LATS1 kinase domain";"";"72";"72";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1908390";"22037378";"10.1038/nbt.1990";"2011";"Nat Biotechnol";"29";"1046";"1051";"";"";"";"";"";""
"CHEMBL1908706";"B";"Binding constant for EPHA3 kinase domain";"";"72";"72";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1908390";"22037378";"10.1038/nbt.1990";"2011";"Nat Biotechnol";"29";"1046";"1051";"";"";"";"";"";""
"CHEMBL1908738";"B";"Binding constant for PIK3CA(H1047L) kinase domain";"";"72";"72";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1908390";"22037378";"10.1038/nbt.1990";"2011";"Nat Biotechnol";"29";"1046";"1051";"";"";"";"";"P42336";"H1047L"
"CHEMBL1908599";"B";"Binding constant for MEK4 kinase domain";"";"72";"72";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1908390";"22037378";"10.1038/nbt.1990";"2011";"Nat Biotechnol";"29";"1046";"1051";"";"";"";"";"";""
"CHEMBL1908670";"B";"Binding constant for JAK2(JH1domain-catalytic) kinase domain";"";"72";"72";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1908390";"22037378";"10.1038/nbt.1990";"2011";"Nat Biotechnol";"29";"1046";"1051";"";"";"";"";"";""
"CHEMBL1908684";"B";"Binding constant for ABL1(Q252H)-phosphorylated kinase domain";"";"72";"72";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1908390";"22037378";"10.1038/nbt.1990";"2011";"Nat Biotechnol";"29";"1046";"1051";"";"";"";"";"P00519";"Q252H"
"CHEMBL1908510";"B";"Binding constant for MINK kinase domain";"";"72";"72";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1908390";"22037378";"10.1038/nbt.1990";"2011";"Nat Biotechnol";"29";"1046";"1051";"";"";"";"";"";""
"CHEMBL1908572";"B";"Binding constant for PDGFRB kinase domain";"";"72";"72";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1908390";"22037378";"10.1038/nbt.1990";"2011";"Nat Biotechnol";"29";"1046";"1051";"";"";"";"";"";""
"CHEMBL1908589";"B";"Binding constant for p38-delta kinase domain";"";"72";"72";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1908390";"22037378";"10.1038/nbt.1990";"2011";"Nat Biotechnol";"29";"1046";"1051";"";"";"";"";"";""
"CHEMBL1908624";"B";"Binding constant for RPS6KA4(Kin.Dom.2-C-terminal) kinase domain";"";"72";"72";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1908390";"22037378";"10.1038/nbt.1990";"2011";"Nat Biotechnol";"29";"1046";"1051";"";"";"";"";"";""
"CHEMBL1908828";"B";"Binding constant for FGFR2 kinase domain";"";"72";"72";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1908390";"22037378";"10.1038/nbt.1990";"2011";"Nat Biotechnol";"29";"1046";"1051";"";"";"";"";"";""
"CHEMBL1908453";"B";"Binding constant for MAP4K4 kinase domain";"";"72";"72";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1908390";"22037378";"10.1038/nbt.1990";"2011";"Nat Biotechnol";"29";"1046";"1051";"";"";"";"";"";""
"CHEMBL1908455";"B";"Binding constant for RIPK5 kinase domain";"";"72";"72";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1908390";"22037378";"10.1038/nbt.1990";"2011";"Nat Biotechnol";"29";"1046";"1051";"";"";"";"";"";""
"CHEMBL1908650";"B";"Binding constant for EPHA7 kinase domain";"";"72";"72";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1908390";"22037378";"10.1038/nbt.1990";"2011";"Nat Biotechnol";"29";"1046";"1051";"";"";"";"";"";""
"CHEMBL1908756";"B";"Binding constant for YSK1 kinase domain";"";"72";"72";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1908390";"22037378";"10.1038/nbt.1990";"2011";"Nat Biotechnol";"29";"1046";"1051";"";"";"";"";"";""
"CHEMBL1908806";"B";"Binding constant for BIKE kinase domain";"";"72";"72";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1908390";"22037378";"10.1038/nbt.1990";"2011";"Nat Biotechnol";"29";"1046";"1051";"";"";"";"";"";""
"CHEMBL1908837";"B";"Binding constant for MARK4 kinase domain";"";"72";"72";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1908390";"22037378";"10.1038/nbt.1990";"2011";"Nat Biotechnol";"29";"1046";"1051";"";"";"";"";"";""
"CHEMBL1908432";"B";"Binding constant for ANKK1 kinase domain";"";"72";"72";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1908390";"22037378";"10.1038/nbt.1990";"2011";"Nat Biotechnol";"29";"1046";"1051";"";"";"";"";"";""
"CHEMBL1908820";"B";"Binding constant for RET(V804L) kinase domain";"";"72";"72";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1908390";"22037378";"10.1038/nbt.1990";"2011";"Nat Biotechnol";"29";"1046";"1051";"";"";"";"";"P07949";"V804L"
