symbol	globalScore	otGeneticsPortal	eva	geneBurden	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
FLT3	0.8508369559316504	No data	0.4377101742803672	No data	No data	No data	0.3799567485072632	No data	No data	No data	0.8193134020311618	0.8752265529995166	0.8777811886537621	0.9513974960387728	0.9340404154722715	No data	No data	0.788677134253267	No data	No data	No data	0.9979183989548301	No data	0.5209925149575173	1	0	0	1	1	0	0.2950650000000003	1	-0.6921233590331319	-0.8755641176132856	0	No data	-1	0	0.5	0.5
DNMT3A	0.8494759845639485	No data	0.805561535243386	0.6174281254467645	No data	No data	0.7599134970145264	0.865457038266544	No data	No data	0.8417308501930904	0.8380026540328287	0.8321238893573638	0.607930797611621	0.9406751496236514	No data	No data	0.8864984392969888	No data	No data	No data	0.984962642554201	No data	No data	1	0	0	1	1	0	0.7971499999999999	No data	0.6694102938112108	-0.8021939959674281	0	No data	-1	0	-1	-1
CEBPA	0.8388918693200877	No data	0.9183280868272728	No data	0.8860591375189377	0.607930797611621	0.7599134970145264	0.607930797611621	0.607930797611621	0.607930797611621	0.8295722342408579	0.6995877830293759	0.8948615878946339	No data	No data	No data	No data	No data	No data	No data	No data	0.9790515263763702	No data	0.4554465553006862	No data	0	0	0	0	0	0.7206699999999998	No data	0.32360908522608867	-0.9672554043921994	0	No data	-1	0	0.75	0
TET2	0.7932657651932565	No data	No data	0.9716642663367389	No data	No data	No data	No data	No data	No data	0.8826395267823723	0.7390321816467939	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	0.9618040570429843	No data	0.6715518928478482	No data	0	0	1	1	0	0	No data	0.5245884559283185	-0.8804992683110604	0	No data	-1	0	0.5	0
SRSF2	0.7899898152877651	No data	No data	0.9422101427748734	No data	No data	No data	No data	No data	No data	0.874196043482211	0.607930797611621	0.6565652614205508	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	0.6209106583194351	No data	No data	No data	0	0	0	0	0	1	No data	-0.12419254011252345	-0.022060910089015118	-1	No data	-1	-0.21945750000000003	-1	-1
NRAS	0.7724356430391598	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8573090768818881	0.8937905329509754	0.7988469497496747	0.607930797611621	No data	No data	0.43061744566463234	0.9821221740481456	No data	No data	No data	0.7799519939581965	No data	0.2995882970630069	0.5	1	0	0	1	0	0.973545	No data	-0.3623671598249635	-0.7531489026827539	0	No data	-1	-0.6296299999999999	-1	-1
GATA2	0.7692377101613984	No data	0.7312119023848426	No data	0.8897742701710087	No data	No data	No data	0.607930797611621	No data	0.793687430215172	0.7846840619703739	0.5319394479101685	No data	No data	No data	No data	No data	No data	No data	No data	0.9185097010893257	No data	0.45161155895968613	No data	0	0	0	0	0	0.8958350000000003	No data	-0.7679724942696395	-0.9316790954077694	0	No data	-1	-0.03645750000000003	-1	0
TP53	0.76373251623565	No data	0.7568738430264683	No data	No data	No data	No data	No data	No data	No data	0.6612513946521403	0.7599134970145264	0.8843039760476706	0.7599134970145264	0.2702530611603666	No data	No data	0.961197330495239	No data	No data	No data	0.9905623793889033	No data	0.7489678755308586	0.75	0	0	1	1	0	0	No data	-0.5366743071473223	-0.9868896764809534	0	-1	-1	0	-1	-1
IDH1	0.7636166588993208	No data	0.5592963338026914	No data	No data	No data	No data	No data	No data	No data	0.6395938599872263	0.8554352404518684	0.8321238893573638	0.8274613634158176	0.7789729299950914	No data	No data	0.7651605609096501	No data	No data	No data	0.9829514252720489	No data	No data	1	0	0	1	1	1	0.7826099999999997	1	0.47687018128776826	-0.022060910089015118	0	No data	-1	-0.22101499999999988	0.5	-1
KIT	0.7591609465870901	No data	0.3057618769433922	No data	No data	No data	No data	No data	No data	No data	0.6490927786999079	0.7413750537183725	0.7883342618028697	0.8274613634158176	0.8583943029535076	No data	No data	0.9357685933772968	No data	No data	No data	0.9699857707380115	No data	0.5435465569087314	1	1	0	1	1	1	0.13934500000000014	1	-0.748906022087935	-0.9831290176435922	0	-1	-1	0	0.5	0
IDH2	0.7591331231405777	No data	No data	0.2521063903660835	No data	No data	No data	No data	No data	No data	0.8559581195538624	0.827227875776248	0.8313290818732415	0.607930797611621	0.7990576221273467	No data	No data	0.7596902057219637	No data	No data	No data	0.9782820071409576	No data	No data	1	0	0	1	1	0	0.756635	0	-0.646801416961867	-0.48049598539801397	0	No data	-1	-0.07632750000000002	0.75	-1
RUNX1	0.7586952983379991	No data	0.8365888992815822	No data	0.7599134970145264	No data	No data	No data	No data	No data	0.8573090768818881	0.7599134970145264	0.8341891819712488	No data	No data	No data	No data	0.3540533486099572	No data	No data	No data	0.9862429814676528	No data	0.5981173441278244	No data	0	0	1	1	1	0.6354149999999997	No data	-0.5762658887268182	-0.9638976544517205	0	No data	No data	-0.13541750000000013	0.5	0
KRAS	0.7548738016647506	No data	0.8117127219150393	No data	0.607930797611621	No data	0.7599134970145264	No data	No data	No data	0.6395938599872263	0.8399608358844379	0.7866455651428372	0.607930797611621	No data	No data	No data	0.9821221740481456	No data	No data	No data	0.20032660445377617	No data	0.39303485979088315	1	0	0	1	1	0	0.468085	1	0.3895603250677224	-0.9759644324931324	-1	No data	-1	-0.6409575000000001	-1	-1
CSF3R	0.7362928086405053	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7725787219647684	0.510072467688086	0.42555155832813474	No data	0.9152401277839728	No data	No data	0.788677134253267	No data	No data	No data	0.6688294612418008	No data	No data	1	1	1	0	0	0	0	No data	-0.17784955198999797	-0.7884090736282103	0	No data	-1	0	0.5	0
ASXL1	0.7356672690957878	No data	No data	0.8919217364795516	No data	No data	No data	No data	No data	No data	0.874196043482211	0.7525215495573013	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.916944924210597	No data	0.5713414694829662	No data	0	0	0	0	0	0	No data	-0.14482183788289227	-0.9190769619514533	0	No data	-1	0	-1	-1
NPM1	0.7335596355919689	No data	0.015198269940290528	No data	0.3039653988058105	No data	No data	No data	No data	No data	0.8132340940550455	No data	0.8670846906963162	0.7599134970145264	0.12158615952232422	No data	No data	0.9595762964043545	No data	No data	No data	0.9930708700964354	No data	0.476938597692917	1	0	0	1	1	0	0.7108849999999997	No data	-0.9306105438633049	-0.9140972064396476	-1	No data	-1	0	-1	-1
JAK2	0.7302388101046081	No data	0.6100416684366613	No data	No data	No data	No data	0.7599134970145264	No data	No data	0.8277568853313232	0.607930797611621	0.6839221473130737	0.7599134970145264	0.18126327926552357	No data	No data	0.9154417988935604	No data	No data	No data	0.6480222056456545	No data	0.6049983898245326	1	1	0	1	1	1	0.6863950000000003	1	-0.7031673265263596	-0.8880652763329555	0	-1	-1	0	-1	-1
PTPN11	0.6984694421674132	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7725787219647684	0.8421605875219155	0.6179785427388131	No data	No data	No data	0.25913050248195346	0.9697916292369135	No data	No data	No data	0.77191854508687	No data	No data	0.25	0	0	1	1	0	0.9747050000000002	1	-0.9531152323400709	-0.9837093384761916	-1	-1	-1	0	-1	-1
RARA	0.6900427275215554	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	0.9618046244276774	No data	No data	No data	No data	No data	No data	0.9576254635978522	No data	No data	1	0	0	1	1	1	0.91342	0	-0.7160866847259846	-0.7673055439722722	0	-1	No data	-0.3019475	-1	-1
SETD2	0.6890395385169136	No data	No data	No data	No data	No data	0.7599134970145264	0.865457038266544	No data	No data	0.5319394479101685	No data	No data	No data	No data	No data	No data	0.3884836023478659	No data	No data	No data	0.8422264695317032	No data	No data	No data	0	0	1	1	0	0.23166999999999974	No data	-0.8811210668889352	-0.896585434973717	0	No data	-1	0	-1	-1
NSD1	0.686828593729712	No data	0.8261425257875297	No data	0.865457038266544	No data	No data	No data	No data	No data	0.3588480402568597	0.18067501416639908	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8280026360084601	No data	No data	No data	1	0	1	0	0	0.19324999999999976	No data	-0.9818712231714941	-0.44045089670747384	0	No data	No data	0	-1	-1
U2AF1	0.6759546798818679	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8464592008411808	0.7599134970145264	0.6058199267865807	No data	No data	No data	No data	No data	No data	No data	No data	0.6514576621488267	No data	No data	No data	0	0	0	0	0	0.9791649999999997	No data	-0.8685142738070432	-0.5270768324545155	-1	No data	No data	0	-1	-1
POLE	0.675654921919343	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	0.9897095077894698	No data	No data	No data	No data	No data	No data	No data	No data	0.3467029338779075	1	1	0	0	0	0	0.5363100000000003	No data	-0.3334027922483851	-0.7053397434311622	-1	No data	-1	No data	-1	0
POLD1	0.6713817575106218	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	0.9897095077894698	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	0	0	0	1	0	0.4670299999999997	No data	-0.46103354865597	-0.861607767966775	-1	No data	-1	0	-1	0
