symbol,overall_score,uniprot_id,chembl_score,uniprot_variants_score,cancer_gene_census_score,intogen_score,eva_somatic_score,eva_score,uniprot_literature_score,gene_burden_score,slapenrich_score,cancer_biomarkers_score,europepmc_score,genomics_england_score,gene2phenotype_score,clingen_score,orphanet_score,impc_score,crispr_score,expression_atlas_score,reactome_score,ot_genetics_portal_score
DNMT3A,0.8473932476290659,['Q9Y6K1'],0.9406751496236514,0.865457038266544,0.8417308501930904,0.8380026540328287,0.8321238893573638,0.805561535243386,0.7599134970145264,0.6174281254467645,0.8864984392969888,0.607930797611621,0.984962642554201,,,,,,,,,
CEBPA,0.8388918693200877,['P49715'],,0.607930797611621,0.8295722342408579,0.6995877830293759,0.8948615878946339,0.9183280868272728,0.7599134970145264,,,,0.9790515263763702,0.8860591375189377,0.607930797611621,0.607930797611621,0.607930797611621,0.4554465553006862,,,,
FLT3,0.821081847621124,['P36888'],0.9340404154722715,,0.8193134020311618,0.8752265529995166,0.8777811886537621,0.4377101742803672,0.3799567485072632,,0.788677134253267,0.9513974960387728,0.9979183989548301,,,,,0.5209925149575173,,,,
TET2,0.7932657651932565,['Q6N021'],,,0.8826395267823723,0.7390321816467939,,,,0.9716642663367389,0.607930797611621,,0.9618040570429843,,,,,0.6715518928478482,,,,
SRSF2,0.782598218194071,['Q01130'],,,0.874196043482211,0.607930797611621,0.6565652614205508,,,0.9422101427748734,,0.607930797611621,0.6209106583194351,,,,,,,,,
GATA2,0.7692377101613984,['P23769'],,,0.793687430215172,0.7846840619703739,0.5319394479101685,0.7312119023848426,,,,,0.9185097010893257,0.8897742701710087,,,0.607930797611621,0.45161155895968613,,,,
NRAS,0.7643865085865214,['P01111'],,,0.8573090768818881,0.8937905329509754,0.7988469497496747,,,,0.9821221740481456,0.607930797611621,0.7799519939581965,,,,,0.2995882970630069,0.43061744566463234,,,
RUNX1,0.7586952983379991,['Q01196'],,,0.8573090768818881,0.7599134970145264,0.8341891819712488,0.8365888992815822,,,0.3540533486099572,,0.9862429814676528,0.7599134970145264,,,,0.5981173441278244,,,,
TP53,0.753801443635606,['P04637'],0.2702530611603666,,0.6612513946521403,0.7599134970145264,0.8843039760476706,0.7568738430264683,,,0.961197330495239,0.7599134970145264,0.9905623793889033,,,,,0.7489678755308586,,,,
IDH2,0.7523053323792133,['P48735'],0.7990576221273467,,0.8559581195538624,0.827227875776248,0.8313290818732415,,,0.2521063903660835,0.7596902057219637,0.607930797611621,0.9782820071409576,,,,,,,,,
KRAS,0.7516466215354818,['P01116'],,,0.6395938599872263,0.8399608358844379,0.7866455651428372,0.8117127219150393,0.7599134970145264,,0.9821221740481456,0.607930797611621,0.20032660445377617,0.607930797611621,,,,0.39303485979088315,,,,
