ID,synonyms
#132 PC3-1-SC-E8,['Z48-5MG-70']
#132 PL12 SC-D1,['Z48-5MG-63']
#15310-LN,"['15310-LN', 'TER461', 'TER-461', 'Ter 461', 'TER479', 'TER-479', 'Ter 479', 'Extract 519']"
#490,"['490', 'Mab 7', 'Mab7']"
#822,"['822', 'Mab 13', 'Mab13']"
#W7079,"['#W7079 REM', 'REMUS', 'W7079']"
0.5alpha,['0.5 alpha']
00136,['136']
017-PC-A,['PC-A']
017-PC-M,['PC-M']
017-PC-O,['PC-O']
03-01 iPS #2,['03-01#2']
03-01 iPS #3,['03-01#3']
03-01 iPS #4,['03-01#4']
03-01 iPS #9,['03-01#9']
03-02 iPS #2B,['03-02#2B']
03-02 iPS #5,['03-02#5']
03-02 iPS #8,['03-02#8']
03-02 iPS #9,['03-02#9']
03-03 iPS #2,['03-03#2']
03-03 iPS #3,['03-03#3']
03-03 iPS #4,['03-03#4']
03-04 iPS #1,['03-04#1']
03-04 iPS #3,['03-04#3']
03-04 iPS #5,['03-04#5']
03-04 iPS #6,['03-04#6']
0308,"['0308-GSC', 'GSC-0308']"
031M-CUMC/INSERM,['031M']
051407cb,['970615NSB']
066MD-CUMC/INSERM,['066MD']
07-01 iPS #1,"['07-01#1', 'i07-01#1']"
07-01 iPS #2,"['07-01#2', 'i07-01#2']"
07-01 iPS #4,"['07-01#4', 'i07-01#4']"
07-02 iPS #10,"['07-02#10', 'i07-02#10']"
07-02 iPS #3,"['07-02#3', 'i07-02#3']"
07-02 iPS #5,"['07-02#5', 'i07-02#5']"
07-03 iPS #3,"['07-03#3', 'i07-03#3']"
07-03 iPS #7,"['07-03#7', 'i07-03#7']"
07-03 iPS #9,"['07-03#9', 'i07-03#9']"
0822,"['0822-GSC', 'GSC-0822']"
1-2322-455,['1-2322']
1-5c-4,"['Clone 1-5c-4', 'Clone 1-5c-4 WKD of Chang Conjunctiva', 'Wong-Kilbourne derivative of Chang conjunctiva', 'ChWK']"
1-903-430,['1-903']
1-LN,"['1LN', '1-LN-PC-3-1A', '1LN-PC31A']"
1.1ASML,['A2.6']
1.90.6,['1.90']
10-1.D.2,['10.1.D2']
10-15,['NMC1015']
10-4A(BFP),['10-4ABFP']
10.014 pRSV-T,"['10.014', 'HCE-T', 'Human Corneal Epithelial cells-Transfected']"
10.2,['HB 10.2']
10.84.2,['10.84']
10/16,['10/16.4.3']
10/8,['10/8.1.4']
10/9CRC1,['MPC 10/9CRC1']
100-1#16,['100-1 #16']
100-1#8,['100-1 #8']
100-2#1,['100-2 #1']
1011-mel,"['1011-MEL', '1011 mel', '1011mel', '1011', 'Mel 1011']"
1013-4FA,"['1013 iPSC', 'ND-1', 'hiPSC-1']"
1013L,"['1013-L', '1013 L']"
1019SeVF,['T1D-1']
1023SevF,['ND-3']
1026-3F-A MODY iPS,['MODY-1']
1026-3F-C MODY iPS,"['1026-3FC', 'MODY-2']"
1031SeVA,['T1D-2']
103B2,['103B2/9E10']
1041SeVF,['T1D-3']
104C1,['104-C1']
105KC,"['105 KC', 'KC']"
105MA,['105 MAnchester']
1066,['DUGE']
106A10,['106A10-2']
1074-mel,"['1074-MEL', '1074 mel', '1074mel', '1074MEL']"
1083-17-1A,"['17-1A', 'CO17-1A']"
1083933x,"['31704', '32399', 'TER321', 'TER-321', 'Ter 321', 'TER396', 'TER-396', 'Ter-396', 'Ter 396']"
10843566,"['TER305', 'TER-305', 'Ter 305', 'TER358', 'TER-358', 'Ter 358', 'TER440', 'TER-440', 'Ter-440', 'Ter 440']"
1088-mel,"['1088-MEL', '1088 Mel', '1088 mel', '1088']"
108CC15,"['NG108-15', 'NG-108-15', 'NG 108-15', 'NG10815']"
108CC5,"['NG108-5', 'NG 108-5']"
108Z,['108-Z']
10913246,"['30692', 'Extract 395']"
109MA,['109 MAnchester']
10B9-B6,['10B9 B6']
10B9-F6,"['10B9 F6', '10B9 F6 A12', '10B9']"
10C9 [Human lymphoma],['10-C9']
10CM,['10 CM']
10D4,['10D4-1-1-1-2']
10F11.B2.C3,['10F11']
10F7MN,['10F7']
10G4,['AFB200810G4']
10H,['H10A12']
10H2-C6,['10H2 C6']
10H2.12.1,['10H2']
10H2.2F12,['<CSF-1R>10H2.2F12']
11-18,['II-18']
11-18-ER1-7,['11-18/ER1-7']
11-18-ER2-1,['11-18/ER2-1']
11-18-GEF10-1,['11-18/GEF10-1']
11-18-GEF20-1,['11-18/GEF20-1']
11-18/R,"['11-18R', '11-18/ER']"
11-9-1-4,"['11.9.14', 'BT-549Gal3']"
11/32,['11/32.2.1.1']
11/34,['11/34.4.2.2']
11/64,['11/64.3.7']
11/9,['#11/9']
1102-mel,"['1102-MEL', '1102 mel', '1102mel', '1102', 'Mel-1102', 'MEL1102']"
1106-mel,"['1106 mel', '1106mel', '1106MEL']"
11060,['NMC 11060']
110BH3,['HB 110-BH3']
110MA,['110 Manchester']
11169540,"['33941', 'Extract 374']"
1116NS-19-9,"['1116-NS-19-9', '1116 NS 19-9', '1116-NS-19']"
1116NS-3d,['3d6']
1123-mel,"['1123-MEL', '1123']"
1127,['FUEA']
1143-mel,"['1143-MEL', '1143 mel', '1143']"
1156492+,"['28144', 'Extract 437', 'Extract 594']"
1156QE/8,"['1156QE', '11156-Q-E', '1156Q']"
116,['Anti PDGF hybridoma #116']
11684232,"['TER288', 'TER-288', 'Ter 288']"
117-13,['AD117m']
1173-mel,['1173-MEL']
1174-mel,"['1174-MEL', '1174 mel', '1174mel', '1174MEL']"
1180,['HOEA']
1180-mel,"['1180-MEL', '1180mel', '1180MEL']"
1181,['HOVI']
1181N1,['118MG-1181N1']
1182-4D,['1182-4 Diploid']
1182-4H,"['1182-4', '1182-4 Haploid']"
1182-mel,"['1182-MEL', '1182 mel', '1182']"
11829109,"['36136', 'Extract 410', 'Extract 598']"
1183,['HODO']
11845457,"['35577', 'TER387', 'TER-387', 'Ter 387', 'TER497', 'TER-497', 'Ter-497', 'Ter 497', 'Extract 381']"
1195-mel,"['1195-MEL', '1195 mel', '1195']"
1196a,['C3 iPSC']
1199-mel,"['1199-MEL', '1199 mel', '1199']"
11a,"['iPS-11a', 'hiPS-11a', 'hiPS 11a', 'IPS cell line 11a', 'iPS11a']"
11A-A11,['HB 11A-A11']
11b,"['iPS-11b', 'hiPS-11b', 'hiPS 11b', 'iPS11b']"
11B11,"['11 B 11', 'BSF-1']"
11c,"['iPS-11c', 'hiPS-11c', 'hiPS 11c']"
11CM,['11 CM']
11G5G1B11,['11G5']
11R2F8.9,"['HB 11R2F8', 'OM2']"
11Z,"['11-Z', 'Z11']"
12-120-94/6,['12-120-94']
1201C1,['HPS0379']
1205D1,['HPS0380']
1205Lu,"['1205-Lu', '1205 Lu', 'WM 1205LU', 'WM-1205LU', 'WM1205Lu', 'WM1205', 'LU1205', 'Lu1205', 'WC00058']"
120MA,['120 MAnchester']
1210B2,['HPS4293']
1218E,['HT-D']
1228,"['1228-GSC', 'GSC-1228']"
1231A3,"['HPS0381', 'KUIMSi012-A']"
123MA,['123 MAnchester']
124-11-2,['#124-11-2']
1249,['DHOL']
124BR,['124 BRighton']
124MA,['124 Manchester']
1255-B7,['1255/B7']
1255O,['1255-O']
1259-mel,"['1259-MEL', '1259mel', '1259MEL']"
125A8-1-11,['125A8']
125M10AA,['M10']
125M165DAAA,['M165']
125M96ABA,['M96']
125MA,['125 MAnchester']
125N26F6AA,['N26']
125Q47BA,['Q47']
125Q54AAAA,['Q54']
125R5AAAA,['R5']
126BR,['126 BRighton']
126MA,['126 MAnchester']
127-42C11,"['127-42C11.SCRF35.4', 'SCRF 35.4']"
1273/99,"['1273-99', '127399', '1273']"
1278-mel,"['1278-MEL', '1278 mel', '1278']"
127BR,['127 BRighton']
1280-mel,"['1280-MEL', '1280 mel', '1280']"
12827878,"['TER303', 'TER-303', 'Ter 303', 'TER379', 'TER-379', 'Ter 379', 'TER454', 'TER-454', 'Ter 454']"
1286-mel,"['1286-MEL', '1286 mel', '1286']"
128BR,['128 BRighton']
1287-mel,"['1287-MEL', '1287 mel', '1287']"
1290-mel,"['1290-MEL', '1290 mel', '1290', 'MG-1290', '1290-MEL p14', '1290p14']"
129BR,['129 BRighton']
12MBr-6,['12MBr6']
12R13D7.2,"['HB 12R13D7', 'OM3']"
12S,['Clone 12S']
12Z,"['12z', '12-Z', 'Z12', 'Z-12', 'Z12 Eo', 'EEC12Z']"
13-5-9-6-2,"[""13-5'9'6'2""]"
13-975-157,['HCV 13-975-157']
13.90.2,['13.90']
130-3-F7-5,"['CO-301', 'CO301']"
1300-mel,"['1300-MEL', '1300 mel', '1300']"
13041452,"['Extract 257', 'Extract 506', 'Extract 593']"
1308-mel,['1308-MEL']
130BR,['130 BRighton']
130MA,['130 MAnchester']
131.2F8.5.9,"['5.9', 'CHIR-5.9']"
1317-mel,"['1317-MEL', '1317 mel', '1317']"
131BR,['131 BRighton']
131MA,['131 Manchester']
1321N1,"['1321-N1', '1321 N1']"
1321N1 MRTFA KO,['1321N1-MRTFA KO']
1321N1 RHOA KO,['1321N1-Rho KO']
1321N1 YAP1 KO,['1321N1-YAP KO']
1321N1-MFSD1-KO-c12,['CE0579-U']
1321N1-MFSD1-KO-c5,['CE0578-Q']
1321N1-NIPAL3-KO-c1,['CE0776-S']
1321N1-NIPAL3-KO-c3,['CE0779-N']
