Preferred Label,Synonyms
AG10385 cell,AG10385
GM03277 cell,GM03277
ND09494 cell,ND09494
PLB-985 cell,PLB-985
ND05219 cell,ND05219
ND11560 cell,ND11560
DA01972 cell,DA01972
encephalopathy,
IMG-984 cell,IMG-984
ND01606 cell,ND01606
DA03720 cell,DA03720
DA06164 cell,DA06164
GM04345 cell,GM04345
DA01478 cell,DA01478
DA05311 cell,DA05311
DA01603 cell,DA01603
AU10134 cell,AU10134
SA88f cell,SA88f
ND00177 cell,ND00177
FC60(B).We cell,FC60(B).We
ND10537 cell,ND10537
DA03543 cell,DA03543
ND03447 cell,ND03447
GM04491 cell,GM04491
RCB2643 cell,F9|RCB2643
IGF093/90 cell,IGF093/90
inborn errors pyruvate metabolism,"""Inborn error of pyruvate metabolism (disorder)"" EXACT [SNOMEDCT_2005_07_31:53210006]"
CCD-1140Sk cell,CCD-1140Sk
DA03106 cell,DA03106
DA04150 cell,DA04150
ND13166 cell,ND13166
ND07188 cell,ND07188
GM21527 cell,GM21527
GM14620 cell,GM14620
GM12058 cell,GM12058
intestinal epithelium,villous epithelium|intestine epithelium|bowel epithelium|intestine epithelial tissue|epithelial tissue of bowel|bowel epithelial tissue|epithelium of intestine|epithelium of bowel|epithelial tissue of intestine
portal triad,trias hepatica|trias hepatica
pelvic girdle region,pelvic girdle|girdle - pelvic
ischium,os ischii|ischium bone|ischial bone
epithelium of stomach,gastric epithelium|ventriculus epithelial tissue|stomach epithelial tissue|epithelial tissue of stomach|stomach epithelium|ventriculus epithelium|epithelium of ventriculus|epithelial tissue of ventriculus
IGF140/80 cell,IGF140/80
ND14429 cell,ND14429
IMG-723 cell,IMG-723
ES3 cell,ES3
polyglandular dysfunction,
multiple endocrine neoplasia type 1,"""MEA type I"" EXACT [NCI2004_11_17:C3225]|""Wermer syndrome"" EXACT [CSP2005:2009-6300]|""Wermer's syndrome"" EXACT [MTHICD9_2006:258.0]|""Multiple endocrine neoplasia, type 1 (disorder)"" EXACT [SNOMEDCT_2005_07_31:30664006]|""Wermer's syndrome"" EXACT [SNOMEDCT_2005_07_31:190566000]"
multiple endocrine neoplasia type 2b,"""mucosal neuroma syndrome"" EXACT [CSP2005:2009-6300]|""Multiple endocrine neoplasia, type 3 (disorder)"" EXACT [SNOMEDCT_2005_07_31:61530001]|""MEN type IIB"" EXACT [NCI2004_11_17:C3227]"
polyglandular activity in multiple endocrine adenomatosis,"""Polyglandular activity in multiple endocrine adenomatosis (disorder)"" EXACT [SNOMEDCT_2005_07_31:46724008]"
polyglandular dysfunction and related disorder,"""Polyglandular dysfunction and/or related disorder (disorder)"" EXACT [SNOMEDCT_2005_07_31:26572003]"
IGF004/79 cell,IGF004/79
AG09274 cell,AG09274
MZ2-MEL cell,MZ2-MEL
AG07667 cell,AG07667
