CHEMBL3137309,CHEMBL3989931,CHEMBL1201506,CHEMBL384467,CHEMBL1489,CHEMBL2362016,CHEMBL803,CHEMBL2105709,CHEMBL608533,CHEMBL1563,CHEMBL1417019,CHEMBL88,CHEMBL4297610,CHEMBL4297534,CHEMBL727,CHEMBL501867,CHEMBL635,CHEMBL1201576,CHEMBL3301603,CHEMBL359744,CHEMBL1200976,CHEMBL3989958,CHEMBL4297522
CHEMBL4672389,CHEMBL4708483,CHEMBL3137738,CHEMBL686335,CHEMBL1613997,CHEMBL1697722,CHEMBL707922,CHEMBL1908760,CHEMBL1908760,CHEMBL1614410,CHEMBL1614410,CHEMBL734245,CHEMBL4325705,CHEMBL2045161,CHEMBL909307,CHEMBL739006,CHEMBL646313,CHEMBL3137738,CHEMBL3991692,CHEMBL919903,CHEMBL1614410,CHEMBL4409428,CHEMBL4810226
CHEMBL4672391,CHEMBL4628666,CHEMBL3137736,CHEMBL685815,CHEMBL1614216,CHEMBL1794580,CHEMBL1613914,CHEMBL1908508,CHEMBL1051316,CHEMBL1647773,CHEMBL763715,CHEMBL1613914,CHEMBL4325706,CHEMBL2045167,CHEMBL1964065,CHEMBL741835,CHEMBL771537,CHEMBL3137736,CHEMBL3991717,CHEMBL763715,CHEMBL1614045,CHEMBL4309332,CHEMBL5135731
CHEMBL3795380,CHEMBL4338883,CHEMBL3137729,CHEMBL635931,CHEMBL1614008,CHEMBL931512,CHEMBL679422,CHEMBL1908414,CHEMBL1037553,CHEMBL810265,CHEMBL1614045,CHEMBL734250,CHEMBL4325710,CHEMBL2045183,CHEMBL910504,CHEMBL817773,CHEMBL635931,CHEMBL3137729,CHEMBL3991771,CHEMBL961174,CHEMBL1613914,CHEMBL4309333,CHEMBL4810190
CHEMBL4182826,CHEMBL4708484,CHEMBL3137727,CHEMBL919410,CHEMBL1697722,CHEMBL931509,CHEMBL970837,CHEMBL1908660,CHEMBL1908508,CHEMBL1613914,CHEMBL1614331,CHEMBL1964065,CHEMBL4325730,CHEMBL2045169,CHEMBL1614445,CHEMBL739904,CHEMBL1794311,CHEMBL3137727,CHEMBL3991653,CHEMBL906318,CHEMBL1794311,CHEMBL4409436,CHEMBL4810168
CHEMBL3865731,CHEMBL4628664,CHEMBL3137731,CHEMBL1964065,CHEMBL1794584,CHEMBL1794345,CHEMBL844951,CHEMBL1908706,CHEMBL1908414,CHEMBL1794311,CHEMBL1613914,CHEMBL965578,CHEMBL4325729,CHEMBL2045142,CHEMBL965578,CHEMBL739001,CHEMBL1964065,CHEMBL3137731,CHEMBL3991678,CHEMBL947664,CHEMBL1613900,CHEMBL4409440,CHEMBL4810258
CHEMBL4264661,CHEMBL4338881,CHEMBL3137739,CHEMBL1814877,CHEMBL1909184,CHEMBL931515,CHEMBL679587,CHEMBL1908738,CHEMBL1908660,CHEMBL759008,CHEMBL1794311,CHEMBL965584,CHEMBL4325733,CHEMBL2045170,CHEMBL906871,CHEMBL741226,CHEMBL1697722,CHEMBL3137739,CHEMBL3991811,CHEMBL947668,CHEMBL1794536,CHEMBL4309329,CHEMBL4810171
CHEMBL4342764,CHEMBL4495582,CHEMBL3137733,CHEMBL1072743,CHEMBL1909097,CHEMBL931510,CHEMBL1738444,CHEMBL1908599,CHEMBL1908706,CHEMBL712035,CHEMBL1613900,CHEMBL1697722,CHEMBL4325716,CHEMBL2045166,CHEMBL1697722,CHEMBL741075,CHEMBL632931,CHEMBL3137733,CHEMBL3991661,CHEMBL948657,CHEMBL1614114,CHEMBL4812388,CHEMBL4810151
CHEMBL3865730,CHEMBL4309368,CHEMBL3137728,CHEMBL1769835,CHEMBL1613941,CHEMBL931518,CHEMBL734250,CHEMBL1908670,CHEMBL1908738,CHEMBL1794352,CHEMBL699350,CHEMBL648663,CHEMBL4325715,CHEMBL2045178,CHEMBL853908,CHEMBL901939,CHEMBL1909184,CHEMBL3137728,CHEMBL3991891,CHEMBL688059,CHEMBL1614142,CHEMBL4812390,CHEMBL4810152
CHEMBL4828453,CHEMBL4628662,CHEMBL3137724,CHEMBL1908289,CHEMBL1614009,CHEMBL4029349,CHEMBL737240,CHEMBL1908684,CHEMBL1908599,CHEMBL702384,CHEMBL966979,CHEMBL1794584,CHEMBL4325721,CHEMBL2045158,CHEMBL905778,CHEMBL913044,CHEMBL1909097,CHEMBL3137724,CHEMBL3991644,CHEMBL923238,CHEMBL965578,CHEMBL4409434,CHEMBL4810215
CHEMBL4828456,CHEMBL4338879,CHEMBL3137722,CHEMBL1670638,CHEMBL1613805,CHEMBL931513,CHEMBL746653,CHEMBL1908510,CHEMBL1908670,CHEMBL1738444,CHEMBL748128,CHEMBL1909184,CHEMBL4325711,CHEMBL2045172,CHEMBL906887,CHEMBL855046,CHEMBL926687,CHEMBL3137722,CHEMBL3991622,CHEMBL805741,CHEMBL1697722,CHEMBL4409435,CHEMBL4810211
