CHEMBL3137309,CHEMBL3989931,CHEMBL1201506,CHEMBL384467,CHEMBL1489,CHEMBL2362016,CHEMBL803,CHEMBL2105709,CHEMBL608533,CHEMBL1563,CHEMBL1417019,CHEMBL88,CHEMBL4297610,CHEMBL4297534,CHEMBL727,CHEMBL501867,CHEMBL635,CHEMBL1201576,CHEMBL3301603,CHEMBL359744,CHEMBL1200976,CHEMBL3989958,CHEMBL4297522
CHEMBL4680030,CHEMBL3991501,CHEMBL612545,CHEMBL3368,CHEMBL276,CHEMBL1697861,CHEMBL386,CHEMBL5938,CHEMBL5938,CHEMBL1293299,CHEMBL1293299,CHEMBL375,CHEMBL2007625,CHEMBL2362975,CHEMBL2360,CHEMBL375,CHEMBL3253,CHEMBL612545,CHEMBL4105814,CHEMBL612558,CHEMBL1293299,CHEMBL2007625,CHEMBL227
CHEMBL4680030,CHEMBL3991501,CHEMBL3879801,CHEMBL3368,CHEMBL614696,CHEMBL364,CHEMBL1293226,CHEMBL4482,CHEMBL6003,CHEMBL384,CHEMBL390,CHEMBL1293226,CHEMBL2007625,CHEMBL614058,CHEMBL614300,CHEMBL375,CHEMBL376,CHEMBL3879801,CHEMBL3650,CHEMBL390,CHEMBL364,CHEMBL612558,CHEMBL614524
CHEMBL4625,CHEMBL3991501,CHEMBL612545,CHEMBL2362975,CHEMBL614696,CHEMBL387,CHEMBL613509,CHEMBL4179,CHEMBL5331,CHEMBL352,CHEMBL364,CHEMBL375,CHEMBL2007625,CHEMBL612558,CHEMBL612545,CHEMBL3394,CHEMBL2362975,CHEMBL612545,CHEMBL3961,CHEMBL614096,CHEMBL1293226,CHEMBL612558,CHEMBL226
CHEMBL612545,CHEMBL3991501,CHEMBL612545,CHEMBL375,CHEMBL1697861,CHEMBL6035,CHEMBL2094266,CHEMBL6167,CHEMBL4482,CHEMBL1293226,CHEMBL1293227,CHEMBL614300,CHEMBL2362975,CHEMBL351,CHEMBL4331,CHEMBL375,CHEMBL1977,CHEMBL612545,CHEMBL1795192,CHEMBL3879801,CHEMBL1977,CHEMBL612558,CHEMBL4729
CHEMBL3879801,CHEMBL2007625,CHEMBL3879801,CHEMBL614300,CHEMBL1293258,CHEMBL364,CHEMBL612545,CHEMBL4954,CHEMBL4179,CHEMBL1977,CHEMBL1293226,CHEMBL3681,CHEMBL612545,CHEMBL6080,CHEMBL3681,CHEMBL375,CHEMBL614300,CHEMBL3879801,CHEMBL2543,CHEMBL392,CHEMBL3879801,CHEMBL612558,CHEMBL612558
CHEMBL612545,CHEMBL2007625,CHEMBL3879801,CHEMBL612557,CHEMBL612545,CHEMBL2403,CHEMBL613509,CHEMBL4005,CHEMBL6167,CHEMBL389,CHEMBL1977,CHEMBL2756,CHEMBL612558,CHEMBL612558,CHEMBL614925,CHEMBL375,CHEMBL1697861,CHEMBL3879801,CHEMBL5922,CHEMBL390,CHEMBL5365,CHEMBL612558,CHEMBL3622
CHEMBL612558,CHEMBL4523582,CHEMBL612545,CHEMBL375,CHEMBL612545,CHEMBL612545,CHEMBL2093862,CHEMBL2897,CHEMBL4954,CHEMBL386,CHEMBL3879801,CHEMBL1697861,CHEMBL3991501,CHEMBL613424,CHEMBL1697861,CHEMBL375,CHEMBL612558,CHEMBL612545,CHEMBL2508,CHEMBL614725,CHEMBL3879801,CHEMBL2007625,CHEMBL612558
CHEMBL3879801,CHEMBL3991501,CHEMBL612545,CHEMBL614058,CHEMBL1293278,CHEMBL6035,CHEMBL375,CHEMBL2971,CHEMBL4005,CHEMBL5567,CHEMBL372,CHEMBL381,CHEMBL2007625,CHEMBL376,CHEMBL612545,CHEMBL612546,CHEMBL612545,CHEMBL612545,CHEMBL5606,CHEMBL383,CHEMBL3879801,CHEMBL2007625,CHEMBL612558
CHEMBL4625,CHEMBL3991501,CHEMBL612545,CHEMBL4302,CHEMBL2842,CHEMBL372,CHEMBL375,CHEMBL1862,CHEMBL2897,CHEMBL398,CHEMBL399,CHEMBL1293258,CHEMBL375,CHEMBL3622,CHEMBL614487,CHEMBL612546,CHEMBL612545,CHEMBL612545,CHEMBL5284,CHEMBL614935,CHEMBL3681,CHEMBL612558,CHEMBL2095229
CHEMBL612558,CHEMBL612545,CHEMBL3879801,CHEMBL2034,CHEMBL2842,CHEMBL387,CHEMBL375,CHEMBL5518,CHEMBL2971,CHEMBL2093862,CHEMBL614213,CHEMBL612545,CHEMBL2007625,CHEMBL376,CHEMBL614922,CHEMBL614697,CHEMBL372,CHEMBL3879801,CHEMBL4938,CHEMBL612262,CHEMBL1697861,CHEMBL612558,CHEMBL236
CHEMBL612558,CHEMBL2007625,CHEMBL3879801,CHEMBL340,CHEMBL1697861,CHEMBL1697861,CHEMBL389,CHEMBL1913,CHEMBL1862,CHEMBL5209893,CHEMBL276,CHEMBL612545,CHEMBL375,CHEMBL6080,CHEMBL1293258,CHEMBL614300,CHEMBL1697861,CHEMBL3879801,CHEMBL331,CHEMBL614917,CHEMBL1795087,CHEMBL2007625,CHEMBL264
CHEMBL612558,CHEMBL3991501,CHEMBL612545,CHEMBL614696,CHEMBL612558,CHEMBL1697861,CHEMBL377,CHEMBL2939,CHEMBL5518,CHEMBL5365,CHEMBL345,CHEMBL372,CHEMBL612558,CHEMBL373,CHEMBL612545,CHEMBL400,CHEMBL612558,CHEMBL612545,CHEMBL4105891,CHEMBL384,CHEMBL1293258,CHEMBL4523582,CHEMBL4142
CHEMBL612558,CHEMBL3991501,CHEMBL612545,CHEMBL208,CHEMBL612545,CHEMBL6035,CHEMBL386,CHEMBL3125,CHEMBL1913,CHEMBL614697,CHEMBL5567,CHEMBL1795091,CHEMBL2362975,CHEMBL373,CHEMBL612545,CHEMBL614577,CHEMBL221,CHEMBL612545,CHEMBL2599,CHEMBL383,CHEMBL612545,CHEMBL612558,CHEMBL612558
CHEMBL4680030,CHEMBL3991501,CHEMBL612545,CHEMBL2034,CHEMBL221,CHEMBL387,CHEMBL375,CHEMBL4142,CHEMBL2939,CHEMBL612408,CHEMBL612514,CHEMBL1697861,CHEMBL375,CHEMBL373,CHEMBL1795091,CHEMBL383,CHEMBL3392921,CHEMBL612545,CHEMBL3116,CHEMBL614197,CHEMBL1293236,CHEMBL2007625,CHEMBL3397
CHEMBL614177,CHEMBL612545,CHEMBL3879801,CHEMBL376,CHEMBL3392921,CHEMBL1927,CHEMBL614027,CHEMBL6166,CHEMBL3125,CHEMBL614536,CHEMBL5365,CHEMBL612558,CHEMBL612545,CHEMBL376,CHEMBL1697861,CHEMBL612546,CHEMBL231,CHEMBL3879801,CHEMBL4079,CHEMBL390,CHEMBL612545,CHEMBL2007625,CHEMBL612545
CHEMBL4860,CHEMBL4303835,CHEMBL3879801,CHEMBL3681,CHEMBL231,CHEMBL6035,CHEMBL3879801,CHEMBL1908386,CHEMBL4142,CHEMBL387,CHEMBL614697,CHEMBL221,CHEMBL612558,CHEMBL612558,CHEMBL221,CHEMBL613102,CHEMBL612545,CHEMBL3879801,CHEMBL3988,CHEMBL614927,CHEMBL385,CHEMBL2007625,CHEMBL612558
CHEMBL4860,CHEMBL3991501,CHEMBL612545,CHEMBL375,CHEMBL612545,CHEMBL612545,CHEMBL385,CHEMBL4602,CHEMBL6166,CHEMBL4302,CHEMBL612408,CHEMBL3392921,CHEMBL2007625,CHEMBL2362975,CHEMBL3392921,CHEMBL4302,CHEMBL258,CHEMBL612545,CHEMBL612545,CHEMBL375,CHEMBL372,CHEMBL4303835,CHEMBL240
CHEMBL2366159,CHEMBL612558,CHEMBL612545,CHEMBL2362975,CHEMBL258,CHEMBL1697861,CHEMBL385,CHEMBL5552,CHEMBL1908386,CHEMBL614696,CHEMBL383,CHEMBL231,CHEMBL2362975,CHEMBL613373,CHEMBL231,CHEMBL340,CHEMBL612545,CHEMBL612545,CHEMBL3987,CHEMBL352,CHEMBL1293278,CHEMBL612558,CHEMBL240
CHEMBL612558,CHEMBL2007625,CHEMBL3879801,CHEMBL2034,CHEMBL612545,CHEMBL6035,CHEMBL386,CHEMBL4522,CHEMBL4602,CHEMBL3681,CHEMBL384,CHEMBL612545,CHEMBL2007625,CHEMBL4523582,CHEMBL614096,CHEMBL3681,CHEMBL1942,CHEMBL3879801,CHEMBL4602,CHEMBL614917,CHEMBL2842,CHEMBL612558,CHEMBL2069
CHEMBL612558,CHEMBL4303835,,CHEMBL375,CHEMBL1942,CHEMBL2007624,CHEMBL3681,CHEMBL5754,CHEMBL5552,CHEMBL1743316,CHEMBL614300,CHEMBL258,CHEMBL612558,CHEMBL289,CHEMBL3879801,CHEMBL3879801,CHEMBL238,,CHEMBL3290,CHEMBL1293226,CHEMBL1795091,CHEMBL612558,CHEMBL2094124
CHEMBL612558,CHEMBL3991501,,CHEMBL375,CHEMBL238,CHEMBL1293235,CHEMBL614027,CHEMBL5547,CHEMBL4522,CHEMBL614696,CHEMBL3879801,CHEMBL612545,CHEMBL2007625,CHEMBL613373,CHEMBL612545,CHEMBL612587,CHEMBL251,,CHEMBL1862,CHEMBL3879801,CHEMBL2842,CHEMBL612558,CHEMBL4142
CHEMBL4860,CHEMBL3991501,,CHEMBL375,CHEMBL614696,CHEMBL6035,CHEMBL398,CHEMBL2041,CHEMBL5754,CHEMBL3879801,CHEMBL614213,CHEMBL1942,CHEMBL375,CHEMBL3721,CHEMBL258,CHEMBL612545,CHEMBL2056,,CHEMBL3179,CHEMBL614393,CHEMBL612558,CHEMBL612558,CHEMBL220
CHEMBL4860,CHEMBL2007625,,CHEMBL2034,CHEMBL251,CHEMBL1697861,CHEMBL385,CHEMBL5914,CHEMBL5547,CHEMBL345,CHEMBL614455,CHEMBL238,CHEMBL612558,CHEMBL612558,CHEMBL614067,CHEMBL614526,CHEMBL612545,,CHEMBL301,CHEMBL384,CHEMBL221,CHEMBL612558,CHEMBL612545
CHEMBL4860,CHEMBL4303835,,CHEMBL372,CHEMBL2056,CHEMBL372,CHEMBL375,CHEMBL4598,CHEMBL2041,CHEMBL385,CHEMBL383,CHEMBL251,CHEMBL612558,CHEMBL612558,CHEMBL613508,CHEMBL398,CHEMBL4608,,CHEMBL5014,CHEMBL614526,CHEMBL3392921,CHEMBL4303835,CHEMBL3568
CHEMBL4860,CHEMBL4303835,,CHEMBL614696,CHEMBL612545,CHEMBL2403,CHEMBL386,CHEMBL3629,CHEMBL1841,CHEMBL1795087,CHEMBL3879801,CHEMBL2056,CHEMBL612558,CHEMBL3397,CHEMBL612545,CHEMBL612558,CHEMBL612545,,CHEMBL3835,CHEMBL614721,CHEMBL231,CHEMBL4303835,CHEMBL2035
CHEMBL4860,CHEMBL372,,CHEMBL1697861,CHEMBL4608,CHEMBL1697861,CHEMBL385,CHEMBL3835,CHEMBL2872,CHEMBL386,CHEMBL4302,CHEMBL612545,CHEMBL612558,CHEMBL373,CHEMBL1942,CHEMBL387,CHEMBL4074,,CHEMBL614925,CHEMBL387,CHEMBL612545,CHEMBL612558,CHEMBL612545
CHEMBL4361,CHEMBL612545,,CHEMBL375,CHEMBL612545,CHEMBL1697861,CHEMBL614541,CHEMBL5679,CHEMBL2873,CHEMBL613826,CHEMBL5393,CHEMBL4608,CHEMBL2007625,CHEMBL3356,CHEMBL238,CHEMBL376,CHEMBL5281,,CHEMBL3706570,CHEMBL385,CHEMBL258,CHEMBL612558,CHEMBL4018
CHEMBL4296391,,,CHEMBL4715,CHEMBL4074,CHEMBL1697861,CHEMBL375,CHEMBL2637,CHEMBL5684,CHEMBL1806,CHEMBL3681,CHEMBL612545,CHEMBL612558,CHEMBL614058,CHEMBL251,CHEMBL612546,CHEMBL612545,,CHEMBL613835,CHEMBL613859,CHEMBL612545,CHEMBL612558,CHEMBL1827
CHEMBL2366159,,,CHEMBL375,CHEMBL5281,CHEMBL1697861,CHEMBL385,CHEMBL3530,CHEMBL3920,CHEMBL1293258,CHEMBL1743316,CHEMBL4074,CHEMBL2007625,CHEMBL612558,CHEMBL2056,CHEMBL387,CHEMBL224,,CHEMBL391,CHEMBL613107,CHEMBL1942,CHEMBL2007625,CHEMBL612558
CHEMBL3879801,,,CHEMBL612558,CHEMBL612545,CHEMBL1697861,CHEMBL383,CHEMBL331,CHEMBL5579,CHEMBL612545,CHEMBL612514,CHEMBL5281,CHEMBL612558,CHEMBL4303835,CHEMBL612545,CHEMBL614725,CHEMBL1909044,,CHEMBL4895,CHEMBL386,CHEMBL238,CHEMBL2007625,CHEMBL2056
