"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL1614410";"F";"PUBCHEM_BIOASSAY: qHTS Fluorescence Polarization Assay for Inhibitors of MLL CXXC domain - DNA interaction. (Class of assay: confirmatory) [Related pubchem assays: 2698 (Summary assay.)]";"Homo sapiens";"17175";"17193";"BAO_0000019";"assay format";"9";"9 - Direct single protein target assigned";"";"PubChem BioAssays";"9606";"";"";"";"";"CHEMBL1201862";"None";"None";"None";"None";"None";"None";"None";"";"";"";"";"";""
"CHEMBL763715";"F";"In vitro Cytotoxic activity of compound in comparison with reference compounds in human cell line PC3";"Homo sapiens";"4";"4";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9606";"";"";"PC-3";"";"CHEMBL1132370";"10479282";"10.1021/jm980682p";"1999";"J Med Chem";"42";"3494";"3501";"";"";"";"";"";""
"CHEMBL1614045";"F";"PUBCHEM_BIOASSAY: Quantitative high throughput screen for delayed death inhibitors of the malarial parasite plastid, 48 hour incubation. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID488745, AID488774]";"Plasmodium falciparum";"390";"392";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"PubChem BioAssays";"5833";"";"";"";"";"CHEMBL1201862";"None";"None";"None";"None";"None";"None";"None";"";"";"";"";"";""
"CHEMBL1614331";"F";"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Ubiquitin-specific Protease USP2a. (Class of assay: confirmatory) ";"Homo sapiens";"6328";"6343";"BAO_0000019";"assay format";"9";"9 - Direct single protein target assigned";"";"PubChem BioAssays";"9606";"";"";"";"";"CHEMBL1201862";"None";"None";"None";"None";"None";"None";"None";"";"";"";"";"";""
"CHEMBL1613914";"F";"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Human Jumonji Domain Containing 2E (JMJD2E). (Class of assay: confirmatory) ";"Homo sapiens";"39332";"39754";"BAO_0000019";"assay format";"9";"9 - Direct single protein target assigned";"";"PubChem BioAssays";"9606";"";"";"";"";"CHEMBL1201862";"None";"None";"None";"None";"None";"None";"None";"";"";"";"";"";""
"CHEMBL1794311";"F";"PUBCHEM_BIOASSAY: Inhibitors of the vitamin D receptor (VDR): qHTS. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504855]";"";"20124";"20420";"BAO_0000019";"assay format";"8";"8 - Homologous single protein target assigned";"";"PubChem BioAssays";"";"";"";"";"";"CHEMBL1201862";"None";"None";"None";"None";"None";"None";"None";"";"";"";"";"";""
"CHEMBL1613900";"F";"PUBCHEM_BIOASSAY: qHTS for differential inhibitors of proliferation of Plasmodium falciparum line 3D7. (Class of assay: confirmatory) [Related PubChem assays: 1815 (Assay for Plasmodium falciparum line 7G8), 1816 (Assay for Plasmodium falciparum line GB4), 1828 (Summary assay)]";"";"627";"629";"BAO_0000019";"assay format";"1";"1 - Target assigned is non-molecular";"";"PubChem BioAssays";"";"";"";"";"";"CHEMBL1201862";"None";"None";"None";"None";"None";"None";"None";"";"";"";"";"";""
"CHEMBL699350";"F";"In vitro inhibitory activity against MCF-7 mammary cell line";"Homo sapiens";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9606";"";"";"MCF7";"";"CHEMBL1126952";"8340911";"10.1021/jm00067a005";"1993";"J Med Chem";"36";"2084";"2090";"";"";"";"";"";""
"CHEMBL966979";"F";"Cytotoxicity against human HeLa cells expressing telomerase after 96 hrs by MTT assay";"Homo sapiens";"44";"44";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9606";"";"";"HeLa";"";"CHEMBL1140074";"18754611";"10.1021/jm800160v";"2008";"J Med Chem";"51";"5566";"5574";"";"";"";"";"";""
"CHEMBL748128";"F";"Antitumor activity against human ovarian OVCAR-3 cell lines.";"Homo sapiens";"26";"26";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9606";"";"";"OVCAR-3";"";"CHEMBL1129597";"8960558";"10.1021/jm960623g";"1996";"J Med Chem";"39";"4978";"4987";"";"";"";"";"";""
