"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL1614410";"F";"PUBCHEM_BIOASSAY: qHTS Fluorescence Polarization Assay for Inhibitors of MLL CXXC domain - DNA interaction. (Class of assay: confirmatory) [Related pubchem assays: 2698 (Summary assay.)]";"Homo sapiens";"17175";"17193";"BAO_0000019";"assay format";"9";"9 - Direct single protein target assigned";"";"PubChem BioAssays";"9606";"";"";"";"";"CHEMBL1201862";"None";"None";"None";"None";"None";"None";"None";"";"";"";"";"";""
"CHEMBL1647773";"F";"Cytotoxicity against human HT-29 cells assessed as cell viability at 25 uM after 24 hrs by MTS assay";"Homo sapiens";"29";"29";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9606";"";"";"HT-29";"";"CHEMBL1641417";"21094049";"10.1016/j.bmc.2010.10.054";"2011";"Bioorg Med Chem";"19";"603";"612";"";"";"";"";"";""
"CHEMBL810265";"F";"Compound was tested for antibacterial activity against Staphylococcus aureus ATCC 25923";"Staphylococcus aureus";"7";"7";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1280";"";"";"";"";"CHEMBL1123433";"3018245";"10.1021/jm00159a024";"1986";"J Med Chem";"29";"1709";"1714";"";"";"";"";"";""
"CHEMBL1613914";"F";"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Human Jumonji Domain Containing 2E (JMJD2E). (Class of assay: confirmatory) ";"Homo sapiens";"39332";"39754";"BAO_0000019";"assay format";"9";"9 - Direct single protein target assigned";"";"PubChem BioAssays";"9606";"";"";"";"";"CHEMBL1201862";"None";"None";"None";"None";"None";"None";"None";"";"";"";"";"";""
"CHEMBL1794311";"F";"PUBCHEM_BIOASSAY: Inhibitors of the vitamin D receptor (VDR): qHTS. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504855]";"";"20124";"20420";"BAO_0000019";"assay format";"8";"8 - Homologous single protein target assigned";"";"PubChem BioAssays";"";"";"";"";"";"CHEMBL1201862";"None";"None";"None";"None";"None";"None";"None";"";"";"";"";"";""
"CHEMBL759008";"F";"Compound was evaluated for cytotoxicity against P388 leukemia cell line.";"Mus musculus";"13";"13";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"P388";"";"CHEMBL1132380";"10479297";"10.1021/jm990166e";"1999";"J Med Chem";"42";"3657";"3667";"";"";"";"";"";""
"CHEMBL712035";"F";"Tested for the cytotoxicity (continuous incubation) against L1210 leukemia cells determined by clonogenic assay.";"Mus musculus";"11";"11";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"L1210";"";"CHEMBL1124930";"2296017";"10.1021/jm00163a028";"1990";"J Med Chem";"33";"166";"171";"";"";"";"";"";""
"CHEMBL1794352";"F";"PUBCHEM_BIOASSAY: qHTS profiling assay for firefly luciferase inhibitor/activator using purified enzyme and Km concentrations of substrates (counterscreen for miR-21 project). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2288, AID2289, AID2598, AID411]";"";"59860";"60142";"BAO_0000019";"assay format";"8";"8 - Homologous single protein target assigned";"";"PubChem BioAssays";"";"";"";"";"";"CHEMBL1201862";"None";"None";"None";"None";"None";"None";"None";"";"";"";"";"";""
"CHEMBL702384";"F";"Resistance factor (RF), ratio between the IC50 on the resistant cells and the IC50 on the corresponding sensitive cells of KB cell line";"Homo sapiens";"3";"3";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9606";"";"";"KB ";"";"CHEMBL1134999";"12443763";"10.1016/s0960-894x(02)00823-5";"2002";"Bioorg Med Chem Lett";"12";"3505";"3507";"";"";"";"";"";""
"CHEMBL1738444";"F";"PUBCHEM_BIOASSAY: qHTS Assay for Compounds Blocking the Interaction Between CBF-beta and RUNX1 for the Treatment of Acute Myeloid Leukemia: ME-1 cellular proliferation. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1477, AID1484]";"Homo sapiens";"56";"58";"BAO_0000019";"assay format";"5";"5 - Multiple direct protein targets may be assigned";"";"PubChem BioAssays";"9606";"";"";"";"";"CHEMBL1201862";"None";"None";"None";"None";"None";"None";"None";"";"";"";"";"";""
