"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL4672389";"B";"Inhibition of N-His6-tagged human AspH (315-755) expressed in Escherichia coli BL21 (DE3) using 1 uM hFX-CP as substrate mixture with high 200 uM 2OG, 100 uM L-ascorbic acid and 2 uM FAS incubated for 35 mins by MS analysis";"Homo sapiens";"12";"12";"BAO_0000019";"assay format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL4665871";"33069066";"10.1016/j.bmc.2020.115675";"2020";"Bioorg Med Chem";"28";"115675";"115675";"";"";"";"";"";""
"CHEMBL4672391";"B";"Inhibition of N-His6-tagged human AspH (315-755) expressed in Escherichia coli BL21 (DE3) using high 10 uM hFX-CP as substrate mixture with 10 uM 2OG, 100 uM L-ascorbic acid and 2 uM FAS incubated for 35 mins by MS analysis";"Homo sapiens";"12";"12";"BAO_0000019";"assay format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL4665871";"33069066";"10.1016/j.bmc.2020.115675";"2020";"Bioorg Med Chem";"28";"115675";"115675";"";"";"";"";"";""
"CHEMBL3795380";"B";"Binding affinity to Bcl-XL (unknown origin) by FRET assay";"Homo sapiens";"4";"4";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL3792281";"26988306";"10.1016/j.bmcl.2016.03.032";"2016";"Bioorg Med Chem Lett";"26";"2105";"2114";"";"";"";"";"";""
"CHEMBL4182826";"B";"Selectivity factor, ratio of IC50 for Bad-derived peptide from Bcl-XL (unknown origin) to IC50 for displacement of Bax-derived peptide from Bcl-2 (unknown origin)";"Homo sapiens";"19";"19";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL4177735";"29229225";"10.1016/j.bmc.2017.12.001";"2018";"Bioorg Med Chem";"26";"443";"454";"";"";"";"";"";""
"CHEMBL3865731";"F";"Cytotoxicity against human CNS cancer cells assessed as cell growth inhibition after 48 hrs by SRB assay";"Homo sapiens";"6";"6";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9606";"";"";"Cancer cell lines";"";"CHEMBL3864191";"27994761";"10.1021/acsmedchemlett.6b00302";"2016";"ACS Med Chem Lett";"7";"1185";"1190";"";"";"";"";"";""
"CHEMBL4264661";"B";"Selectivity factor, ratio of IC50 for Bcl-xL (unknown origin) to Bcl2 (unknown origin)";"Homo sapiens";"19";"19";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL4261603";"30278333";"10.1016/j.ejmech.2018.09.059";"2018";"Eur J Med Chem";"159";"149";"165";"";"";"";"";"";""
"CHEMBL4342764";"T";"Toxicity in mouse xenografted with human haematological tumor at 12.5 mg/kg, po";"Mus musculus";"2";"2";"BAO_0000218";"organism-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"10090";"";"";"";"";"CHEMBL4342405";"30769242";"10.1016/j.ejmech.2019.01.084";"2019";"Eur J Med Chem";"167";"76";"95";"";"";"";"";"";""
"CHEMBL3865730";"F";"Cytotoxicity against human colon cancer cells assessed as cell growth inhibition after 48 hrs by SRB assay";"Homo sapiens";"6";"6";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9606";"";"";"Cancer cell lines";"";"CHEMBL3864191";"27994761";"10.1021/acsmedchemlett.6b00302";"2016";"ACS Med Chem Lett";"7";"1185";"1190";"";"";"";"";"";""
"CHEMBL4828453";"B";"Displacement of Bak derived peptide from Bcl-xL (unknown origin) measured after 15 mins by microplate reader assay";"Homo sapiens";"20";"20";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL4825763";"34536651";"10.1016/j.bmc.2021.116350";"2021";"Bioorg Med Chem";"47";"116350";"116350";"";"";"";"";"";""
"CHEMBL4828456";"T";"Toxicity in C57BL/6 mouse plasma assessed as effect on platelet count at 300 mg/kg, ig for 4 hrs";"Mus musculus";"2";"2";"BAO_0000218";"organism-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"C57BL/6";"Scientific Literature";"10090";"CHEMBL3559721";"Plasma";"";"";"CHEMBL4825763";"34536651";"10.1016/j.bmc.2021.116350";"2021";"Bioorg Med Chem";"47";"116350";"116350";"";"";"";"";"";""
