"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL686335";"B";"Relative binding affinity to glucocorticoid receptor on cytosol from thymus at 4 hr";"";"36";"36";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1124129";"2897467";"10.1021/jm00401a015";"1988";"J Med Chem";"31";"1160";"1169";"";"";"";"";"";""
"CHEMBL685815";"B";"Relative binding affinity against glucocorticoid receptor.";"";"21";"22";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1126871";"8230118";"10.1021/jm00074a008";"1993";"J Med Chem";"36";"3278";"3285";"";"";"";"";"";""
"CHEMBL635931";"P";"Partition coefficient (logP)";"";"36";"36";"BAO_0000100";"small-molecule physicochemical format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1133461";"10956200";"10.1021/jm0000822";"2000";"J Med Chem";"43";"2922";"2928";"";"";"";"";"";""
"CHEMBL919410";"F";"Inhibition of COX2 expression in zymosan-stimulated Swiss mouse air pouch model after 24 hrs";"Mus musculus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"Swiss";"Scientific Literature";"10090";"";"";"";"";"CHEMBL1147139";"17407277";"10.1021/jm0700823";"2007";"J Med Chem";"50";"2176";"2184";"";"MUSCULO-SKELETAL SYSTEM";"Anti-Inflammatory Activity";"Granuloma Pouch Technique";"";""
"CHEMBL1964065";"F";"PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the SR Leukemia cell line. (Class of assay: confirmatory) ";"";"34103";"34374";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"PubChem BioAssays";"";"";"";"SR";"";"CHEMBL1201862";"None";"None";"None";"None";"None";"None";"None";"";"";"";"";"";""
"CHEMBL1814877";"F";"Antiinflammatory activity against mouse RAW264.7 cells assessed as inhibition of LPS-induced nitric oxide mRNA expression at 10 uM after 24 hrs by RT-PCR relative to control";"Mus musculus";"15";"15";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"RAW264.7";"";"CHEMBL1811832";"21598928";"10.1021/np100915q";"2011";"J Nat Prod";"74";"1379";"1385";"";"";"";"";"";""
"CHEMBL1072743";"F";"Antiinflammatory activity in human CKLF1-electroporated transfected mouse assessed as decrease in collagen deposition at 2 mg/kg, po";"Mus musculus";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"";"";"CHEMBL1156907";"20099827";"10.1021/jm901652p";"2010";"J Med Chem";"53";"1741";"1754";"standard_type:DOSE standard_relation:= standard_value:2.0 standard_units:mg.kg-1 comments:None | standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"MUSCULO-SKELETAL SYSTEM";"Anti-Inflammatory Activity";"General Anti-Inflammatory Models";"";""
"CHEMBL1769835";"A";"Apparent permeability across human Caco2 cell membrane after 2 hrs by LC-MS/MS analysis";"Homo sapiens";"138";"153";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9606";"";"";"Caco-2";"";"CHEMBL1764994";"21458999";"10.1016/j.bmc.2011.03.011";"2011";"Bioorg Med Chem";"19";"2615";"2624";"";"";"";"";"";""
"CHEMBL1908289";"A";"Ratio of apparent permeability from basolateral to apical side over apical to basolateral side determined in MDR1-MDCKII cells";"Canis lupus familiaris";"60";"63";"BAO_0000219";"cell-based format";"8";"8 - Homologous single protein target assigned";"(null)";"Scientific Literature";"9615";"";"";"MDR1-MDCKII";"";"CHEMBL1908284";"11602674";"None";"2001";"J Pharmacol Exp Ther";"299";"620";"628";"";"";"";"";"";""
"CHEMBL1670638";"F";"Agonist activity at glucocorticoid receptor in human A549 cells by NF-kappaB transrepression assay";"Homo sapiens";"31";"33";"BAO_0000219";"cell-based format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9606";"";"";"A549";"";"CHEMBL1667843";"21257309";"10.1016/j.bmcl.2010.12.121";"2011";"Bioorg Med Chem Lett";"21";"1126";"1133";"";"";"";"";"";""
"CHEMBL1743273";"A";"Clinically relevant substrates of human liver microsomal P450 enzymes, isoform CYP3A4";"Homo sapiens";"118";"119";"BAO_0000019";"assay format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL1743201";"None";"None";"2008";"None";"None";"161";"304";"";"";"";"";"";""
"CHEMBL1614216";"F";"PUBCHEM_BIOASSAY: Cell Viability - LYMP2-001. CellTiter-Glo luminescent cell viability assay (Promega), as a homogeneous method to measure the number of viable cells in culture was used. The end point readout of this assay is based on quantitation of intracellular ATP, an indicator of metabolic activity, using the luciferase reaction. (Class of assay: confirmatory) ";"Homo sapiens";"206";"214";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"PubChem BioAssays";"9606";"";"";"Lymphoblastoid cell";"";"CHEMBL1201862";"None";"None";"None";"None";"None";"None";"None";"";"";"";"";"";""
"CHEMBL1913331";"B";"Displacement of tetramethylrhodamine-labeled RU-486 from human recombinant progesterone receptor expressed in baculovirus infected insect cells by fluorescence polarization assay";"Homo sapiens";"32";"32";"BAO_0000219";"cell-based format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL1909618";"21963986";"10.1016/j.bmcl.2011.09.018";"2011";"Bioorg Med Chem Lett";"21";"6842";"6851";"";"";"";"";"";""
"CHEMBL1913336";"F";"Agonist activity at glucocorticoid receptor in HFF assessed as inhibition of IL1-induced IL-6 production after 18 to 24 hrs";"Homo sapiens";"31";"31";"BAO_0000019";"assay format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL1909618";"21963986";"10.1016/j.bmcl.2011.09.018";"2011";"Bioorg Med Chem Lett";"21";"6842";"6851";"";"";"";"";"";""
"CHEMBL975915";"F";"Antiinflammatory activity against formalin-induced chronic paw edema rat inflammatory model assessed as reduction of paw volume at 5 mg/kg, po after 2 days relative to control";"Rattus norvegicus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10116";"";"";"";"";"CHEMBL1157213";"17467123";"10.1016/j.ejmech.2007.02.008";"2008";"Eur J Med Chem";"43";"129";"134";"standard_type:DOSE standard_relation:= standard_value:5.0 standard_units:mg.kg-1 comments:None | standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"MUSCULO-SKELETAL SYSTEM | MUSCULO-SKELETAL SYSTEM | NERVOUS SYSTEM";"Anti-Inflammatory Activity | Anti-Inflammatory Activity | Central Analgesic Activity";"General Anti-Inflammatory Models | Paw Edema Test | Formalin Test for Chronic Pain";"";""
"CHEMBL965578";"B";"Inhibition of mouse brain MAOA";"Mus musculus";"385";"391";"BAO_0000019";"assay format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"10090";"";"";"";"";"CHEMBL1152129";"18834112";"10.1021/jm800656v";"2008";"J Med Chem";"51";"6740";"6751";"";"";"";"";"";""
"CHEMBL735501";"F";"Tested for its antiinflammatory activity in the arachidonic acid(AA) induced ear edema model";"Mus musculus";"8";"8";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"";"";"CHEMBL1149986";"None";"10.1016/S0960-894X(01)81022-2";"1993";"Bioorg Med Chem Lett";"3";"2087";"2092";"";"MUSCULO-SKELETAL SYSTEM | MUSCULO-SKELETAL SYSTEM";"Anti-Inflammatory Activity | Anti-Inflammatory Activity";"Croton Oil Ear Edema | General Anti-Inflammatory Models";"";""
"CHEMBL905620";"P";"Partition coefficient, log P of the compound";"";"96";"96";"BAO_0000100";"small-molecule physicochemical format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1143050";"17418579";"10.1016/j.bmc.2007.03.040";"2007";"Bioorg Med Chem";"15";"3756";"3767";"";"";"";"";"";""
"CHEMBL1019341";"B";"Transrepression activity at GR in PMA-stimulated human A549 cells assessed as inhibition of AP1 response element-induced luciferase reporter gene activity";"Homo sapiens";"24";"30";"BAO_0000219";"cell-based format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9606";"";"";"A549";"";"CHEMBL1138590";"19321341";"10.1016/j.bmcl.2009.03.006";"2009";"Bioorg Med Chem Lett";"19";"2139";"2143";"";"";"";"";"";""
"CHEMBL1944227";"F";"Antihypersensitivity activity against TNCB-induced contact hypersensitivity in BALB/c mouse ear assessed as decrease cytokines levels at 0.025 mg/ear measured at 24 hrs by ELISA relative to control";"Mus musculus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"BALB/c";"Scientific Literature";"10090";"CHEMBL3987716";"Ear";"";"";"CHEMBL1938323";"21469692";"10.1021/np100934u";"2011";"J Nat Prod";"74";"1079";"1084";"";"DERMATOLOGICALS";"Experimental Dermatitis";"Contact Hypersensitivity";"";""
"CHEMBL1840064";"F";"Inhibition of IL1-beta production in Freund's complete adjuvant-induced mouse at 2 mg/kg, ip administered 40 mins before CFA challenge measured after 2 hrs by ELISA";"Mus musculus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"";"";"CHEMBL1833877";"21939182";"10.1021/np200232s";"2011";"J Nat Prod";"74";"2062";"2068";"standard_type:DOSE standard_relation:= standard_value:2.0 standard_units:mg.kg-1 comments:None | standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"";"";"";"";""
"CHEMBL1000595";"F";"Antiinflammatory activity in po dosed mouse assessed as inhibition of LPS-induced TNFalpha upregulation measured 2 hrs after LPS challenge relative to control";"Mus musculus";"5";"5";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"";"";"CHEMBL1136923";"19425597";"10.1021/jm900133w";"2009";"J Med Chem";"52";"3591";"3595";"";"MUSCULO-SKELETAL SYSTEM";"Anti-Inflammatory Activity";"General Anti-Inflammatory Models";"";""
"CHEMBL964722";"B";"Inhibition of glucocorticoid receptor";"";"3";"3";"BAO_0000357";"single protein format";"8";"8 - Homologous single protein target assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1150407";"18490170";"10.1016/j.bmc.2008.04.074";"2008";"Bioorg Med Chem";"16";"5853";"5861";"";"";"";"";"";""
"CHEMBL865441";"A";"Permeability in human skin";"Homo sapiens";"31";"31";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9606";"CHEMBL3638174";"Zone of skin";"";"";"CHEMBL1138041";"16789751";"10.1021/jm060230+";"2006";"J Med Chem";"49";"3948";"3954";"";"";"";"";"";""
