"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL707922";"F";"Concentration required for 50% inhibition of cell growth of L1210 leukemic cell lines in mouse.";"Mus musculus";"8";"8";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"L1210";"";"CHEMBL1125887";"1992123";"10.1021/jm00105a037";"1991";"J Med Chem";"34";"234";"239";"";"";"";"";"";""
"CHEMBL1613914";"F";"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Human Jumonji Domain Containing 2E (JMJD2E). (Class of assay: confirmatory) ";"Homo sapiens";"39332";"39754";"BAO_0000019";"assay format";"9";"9 - Direct single protein target assigned";"";"PubChem BioAssays";"9606";"";"";"";"";"CHEMBL1201862";"None";"None";"None";"None";"None";"None";"None";"";"";"";"";"";""
"CHEMBL679422";"F";"Tested in vitro against human ovarian cancer cells (G-401) for anticancer activity at dose 0 uM (Cell number 1*10 e-4)";"Homo sapiens";"2";"2";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9606";"";"";"G-401";"";"CHEMBL1127382";"7932594";"10.1021/jm00047a024";"1994";"J Med Chem";"37";"3668";"3670";"";"";"";"";"";""
"CHEMBL970837";"B";"Inhibition of rat brain protein kinase C";"Rattus norvegicus";"19";"19";"BAO_0000019";"assay format";"5";"5 - Multiple direct protein targets may be assigned";"";"Scientific Literature";"10116";"";"";"";"";"CHEMBL1156703";"18055068";"10.1016/j.ejmech.2007.10.011";"2008";"Eur J Med Chem";"43";"1376";"1389";"";"";"";"";"";""
"CHEMBL844951";"F";"Ratio of IC50 for Parental L1210 to that of multidrug resistant L1210.";"";"18";"20";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1125271";"1906107";"10.1021/jm00111a004";"1991";"J Med Chem";"34";"1947";"1951";"";"";"";"";"";""
"CHEMBL679587";"F";"Tested in vitro against human ovarian cancer cells (G-401) for anticancer activity at dose 100 uM (Cell number 1*10 e-4)";"Homo sapiens";"2";"2";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9606";"";"";"G-401";"";"CHEMBL1127382";"7932594";"10.1021/jm00047a024";"1994";"J Med Chem";"37";"3668";"3670";"";"";"";"";"";""
"CHEMBL1738444";"F";"PUBCHEM_BIOASSAY: qHTS Assay for Compounds Blocking the Interaction Between CBF-beta and RUNX1 for the Treatment of Acute Myeloid Leukemia: ME-1 cellular proliferation. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1477, AID1484]";"Homo sapiens";"56";"58";"BAO_0000019";"assay format";"5";"5 - Multiple direct protein targets may be assigned";"";"PubChem BioAssays";"9606";"";"";"";"";"CHEMBL1201862";"None";"None";"None";"None";"None";"None";"None";"";"";"";"";"";""
"CHEMBL734250";"F";"In vivo activity against transplanted Squam lung-LC12 tumors of mice";"Mus musculus";"11";"11";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"";"";"CHEMBL1134487";"11356111";"10.1021/jm0005149";"2001";"J Med Chem";"44";"1758";"1776";"";"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"Neoplasm Oncology Models";"Neoplasms";"";""
"CHEMBL737240";"F";"Antitumor activity against L1210 leukemia in mice (Percent increase in life span.) at the dose of 200 mg/kg";"Mus musculus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"";"";"CHEMBL1122008";"7057424";"10.1021/jm00344a016";"1982";"J Med Chem";"25";"171";"178";"standard_type:DOSE standard_relation:= standard_value:200.0 standard_units:mg.kg-1 comments:None";"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS | ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS | ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"Leukemia Oncology Models | Leukemia Oncology Models | Neoplasm Oncology Models";"General Leukemia | L1210 Experimental Leukemia | Neoplasms";"";""
"CHEMBL746653";"F";"Death due to toxicity occurring at a maximum body weight decrease of 10 to 22% from the average post injection body weight at 75 mg/kg; 5 / 5";"Mus musculus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"";"";"CHEMBL1125190";"1652024";"10.1021/jm00112a040";"1991";"J Med Chem";"34";"2607";"2615";"standard_type:DOSE standard_relation:= standard_value:75.0 standard_units:mg.kg-1 comments:None";"";"";"";"";""
"CHEMBL741868";"F";"Anticancer activity carried out in vitro against murine leukemia P388";"Mus musculus";"9";"9";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"P388";"";"CHEMBL1134486";"11356110";"10.1021/jm0004446";"2001";"J Med Chem";"44";"1749";"1757";"";"";"";"";"";""
"CHEMBL1004764";"F";"Antiviral activity against HSV1 F infected in african green monkey Vero cells assessed as inhibition of virus-induced cytopathic effect after 3 days by MTT assay";"Human herpesvirus 1";"11";"11";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"F";"Scientific Literature";"10298";"";"";"Vero";"";"CHEMBL1150133";"12444692";"10.1021/np020234r";"2002";"J Nat Prod";"65";"1649";"1656";"";"";"";"";"";""
"CHEMBL1014839";"F";"Cytotoxicity against mouse L1210 cells after 3 days by trypan blue exclusion technique";"Mus musculus";"6";"6";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"L1210";"";"CHEMBL1158984";"1800632";"10.1021/np50077a010";"1991";"J Nat Prod";"54";"1298";"1302";"";"";"";"";"";""
"CHEMBL739859";"F";"Increase of life span was determined against Ip implanted L1210 / 0 lymphoid leukemia in mice at a dose of 400 mg/kg per day after treatment 5";"Mus musculus";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"";"";"CHEMBL1124763";"2329558";"10.1021/jm00167a016";"1990";"J Med Chem";"33";"1380";"1386";"standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"Leukemia Oncology Models";"General Leukemia";"";""
"CHEMBL1810521";"F";"Antitumor activity against mouse S180 cells xenografted in ICR mouse assessed as tumor growth inhibition at 0.089 umol/kg, ip qd administered 1 day after tumor inoculation for 7 days";"Mus musculus";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"CCRF S-180";"";"CHEMBL1806449";"21620529";"10.1016/j.ejmech.2011.05.004";"2011";"Eur J Med Chem";"46";"3410";"3419";"";"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS | ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"Neoplasm Oncology Models | Xenograft Oncology Models";"Neoplasms | Xenograft Models of Anti-Tumor Assays";"";""
"CHEMBL1014843";"F";"Cytotoxicity against human HeLaS3 cells after 3 days by trypan blue exclusion technique";"Homo sapiens";"6";"6";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9606";"";"";"HeLa S3";"";"CHEMBL1158984";"1800632";"10.1021/np50077a010";"1991";"J Nat Prod";"54";"1298";"1302";"";"";"";"";"";""
"CHEMBL1810511";"F";"Antiproliferative activity against human K562 cells after 48 hrs by MTT assay";"Homo sapiens";"22";"22";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9606";"";"";"K562";"";"CHEMBL1806449";"21620529";"10.1016/j.ejmech.2011.05.004";"2011";"Eur J Med Chem";"46";"3410";"3419";"";"";"";"";"";""
"CHEMBL705727";"F";"Inhibition of cell growth against human myeloid leukemia K562(S) cells";"Homo sapiens";"17";"17";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9606";"";"";"K562";"";"CHEMBL1131873";"10560743";"10.1016/s0960-894x(99)00547-8";"1999";"Bioorg Med Chem Lett";"9";"3153";"3158";"";"";"";"";"";""
"CHEMBL712033";"F";"Inhibitory concentration on parentral (sensitive) L1210 leukemia cells.";"Mus musculus";"18";"20";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"L1210";"";"CHEMBL1125271";"1906107";"10.1021/jm00111a004";"1991";"J Med Chem";"34";"1947";"1951";"";"";"";"";"";""
"CHEMBL965578";"B";"Inhibition of mouse brain MAOA";"Mus musculus";"385";"391";"BAO_0000019";"assay format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"10090";"";"";"";"";"CHEMBL1152129";"18834112";"10.1021/jm800656v";"2008";"J Med Chem";"51";"6740";"6751";"";"";"";"";"";""
"CHEMBL1225709";"F";"Antitumor activity against mouse S180 cells transplanted in ICR mouse assessed as inhibition of tumor weight at 89 umol/kg, ip";"Mus musculus";"3";"3";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"CCRF S-180";"";"CHEMBL1221334";"20692841";"10.1016/j.bmc.2010.07.043";"2010";"Bioorg Med Chem";"18";"6220";"6229";"";"";"";"";"";""
"CHEMBL1918585";"F";"Cytotoxicity against human KB cells assessed as cell survival after 72 hrs by sulforhodamine B colorimetric assay";"Homo sapiens";"12";"12";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9606";"";"";"KB ";"";"CHEMBL1914360";"21945463";"10.1016/j.bmc.2011.08.069";"2011";"Bioorg Med Chem";"19";"6375";"6382";"";"";"";"";"";""
"CHEMBL957685";"F";"Antiproliferative activity against human K562 cells";"Homo sapiens";"18";"18";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9606";"";"";"K562";"";"CHEMBL1153870";"18571290";"10.1016/j.ejmech.2008.05.001";"2009";"Eur J Med Chem";"44";"745";"754";"";"";"";"";"";""
"CHEMBL741472";"F";"Dose producing greatest increase in life span expressed as optimum dose (L1210/ara-C I) (qd 1)";"Mus musculus";"8";"8";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"";"";"CHEMBL1124302";"3411602";"10.1021/jm00117a020";"1988";"J Med Chem";"31";"1793";"1798";"";"";"";"";"";""
"CHEMBL703789";"F";"Antitumor activity in the mice with intraperitoneal implanted L1210 lymphoid leukemia at the dose of 25 mg/kg/day x 5 was determined as mean survival of treated group compared to untreated; 9.5/8";"Mus musculus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"L1210";"";"CHEMBL1121364";"7452687";"10.1021/jm00186a011";"1980";"J Med Chem";"23";"1343";"1347";"standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS | ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"Leukemia Oncology Models | Neoplasm Oncology Models";"General Leukemia | Neoplasms";"";""
"CHEMBL1820601";"F";"Ratio of IC50 for homoharringtonine300-resistant human K562 cells to IC50 for human K562 cells";"Homo sapiens";"6";"6";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9606";"";"";"K562";"";"CHEMBL1817624";"21780800";"10.1021/jm200764t";"2011";"J Med Chem";"54";"5937";"5948";"";"";"";"";"";""
"CHEMBL919716";"F";"Growth inhibition of human CCRF-HSB-2 cells by MTT assay";"Homo sapiens";"21";"21";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9606";"";"";"CCRF-HSB-2";"";"CHEMBL1144504";"17049252";"10.1016/j.bmc.2006.09.063";"2007";"Bioorg Med Chem";"15";"242";"256";"";"";"";"";"";""
"CHEMBL748524";"F";"Mean body weight change on 5th day at a dose of 200 mg/kg/day";"Mus musculus";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"10090";"";"";"";"";"CHEMBL1126569";"8277500";"10.1021/jm00078a007";"1993";"J Med Chem";"36";"4190";"4194";"";"";"";"";"";""
"CHEMBL700229";"F";"In vitro inhibitory effect on growth of human chronic myelogenous leukemic K562 cell lines.";"Homo sapiens";"3";"3";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9606";"";"";"K562";"";"CHEMBL1124118";"3373480";"10.1021/jm00401a001";"1988";"J Med Chem";"31";"1063";"1064";"";"";"";"";"";""
"CHEMBL686516";"F";"Anticancer activity was evaluated for the compound against parent promyelocytic leukemia cell line (HL-60-GHPRT+/dCK+)";"Homo sapiens";"2";"2";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9606";"";"";"HL-60";"";"CHEMBL1123319";"3027329";"10.1021/jm00157a031";"1986";"J Med Chem";"29";"1293";"1295";"";"";"";"";"";""
"CHEMBL1909184";"B";"DRUGMATRIX: Phosphodiesterase PDE3 enzyme inhibition (substrate: [3H]cAMP + cAMP)";"Homo sapiens";"871";"1742";"BAO_0000221";"tissue-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"DrugMatrix";"9606";"";"";"Platelet";"";"CHEMBL1909046";"None";"None";"None";"None";"None";"None";"None";"";"";"";"";"";""
