parent_compound_chembl_id,assay_chembl_id,target_chembl_id,parent_compound_specificity,target_uniprot_ids,OT_uniprot_id,OT_symbol,OT_overall_score,OT_chembl_score,OT_uniprot_variants_score,OT_cancer_gene_census_score,OT_intogen_score,OT_eva_somatic_score,OT_eva_score,OT_uniprot_literature_score,OT_gene_burden_score,OT_slapenrich_score,OT_cancer_biomarkers_score,OT_europepmc_score,OT_genomics_england_score,OT_gene2phenotype_score,OT_clingen_score,OT_orphanet_score,OT_impc_score,OT_crispr_score,OT_expression_atlas_score,OT_reactome_score,OT_ot_genetics_portal_score,disease_focused,assay_importance,assay_cluster
CHEMBL2362016,CHEMBL935685,CHEMBL6035,specific,"['O89049', 'Q5U344', 'Q9JKZ3', 'Q9JKZ4', 'Q9R1I3']",,,,,,,,,,,,,,,,,,,,,,,,AML,1,542
CHEMBL2362016,CHEMBL935686,CHEMBL2403,specific,"['O95840', 'Q96IJ2', 'Q9H2Z5', 'Q9NNW7', 'Q9NZV3', 'Q9NZV4', 'Q9P2Y0', 'Q9P2Y1', 'Q9UQU8']",Q9NNW7,['TXNRD2'],0.0057695521759111,,,,,,,,,,,0.047452376146907,,,,,,,,,,AML,2,518
CHEMBL2362016,CHEMBL935687,CHEMBL6035,specific,"['O89049', 'Q5U344', 'Q9JKZ3', 'Q9JKZ4', 'Q9R1I3']",,,,,,,,,,,,,,,,,,,,,,,,AML,1,542
CHEMBL2362016,CHEMBL936488,CHEMBL6035,specific,"['O89049', 'Q5U344', 'Q9JKZ3', 'Q9JKZ4', 'Q9R1I3']",,,,,,,,,,,,,,,,,,,,,,,,AML,1,542
CHEMBL2362016,CHEMBL931509,CHEMBL6035,specific,"['O89049', 'Q5U344', 'Q9JKZ3', 'Q9JKZ4', 'Q9R1I3']",,,,,,,,,,,,,,,,,,,,,,,,AML,1,542
CHEMBL2362016,CHEMBL931510,CHEMBL612545,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL931511,CHEMBL387,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL931512,CHEMBL387,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL931513,CHEMBL387,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL931514,CHEMBL1927,specific,"['B7Z1F4', 'B7Z3Y8', 'B7Z904', 'E9PMY9', 'F5H780', 'Q16881', 'Q6FI31', 'Q6VB40', 'Q6VB41', 'Q6VB42', 'Q6VBP2', 'Q6VBP3', 'Q6VBP4', 'Q6VBP5', 'Q6VBP9', 'Q6VBQ0', 'Q6YNQ1', 'Q76P53', 'Q7LA96', 'Q8WVC8', 'Q99475', 'Q9UES8', 'Q9UH79']",Q16881,['TXNRD1'],0.5710593837554495,0.9285790699742312,,,,,,,,,,0.2154050798637376,,,,,,,,,,AML,1,Not AML cell lines
CHEMBL2362016,CHEMBL931515,CHEMBL2403,specific,"['O95840', 'Q96IJ2', 'Q9H2Z5', 'Q9NNW7', 'Q9NZV3', 'Q9NZV4', 'Q9P2Y0', 'Q9P2Y1', 'Q9UQU8']",Q9NNW7,['TXNRD2'],0.0057695521759111,,,,,,,,,,,0.047452376146907,,,,,,,,,,AML,1,Not AML cell lines
CHEMBL2362016,CHEMBL931516,CHEMBL2403,specific,"['O95840', 'Q96IJ2', 'Q9H2Z5', 'Q9NNW7', 'Q9NZV3', 'Q9NZV4', 'Q9P2Y0', 'Q9P2Y1', 'Q9UQU8']",Q9NNW7,['TXNRD2'],0.0057695521759111,,,,,,,,,,,0.047452376146907,,,,,,,,,,AML,1,Not AML cell lines
CHEMBL2362016,CHEMBL931517,CHEMBL2403,specific,"['O95840', 'Q96IJ2', 'Q9H2Z5', 'Q9NNW7', 'Q9NZV3', 'Q9NZV4', 'Q9P2Y0', 'Q9P2Y1', 'Q9UQU8']",Q9NNW7,['TXNRD2'],0.0057695521759111,,,,,,,,,,,0.047452376146907,,,,,,,,,,AML,1,Not AML cell lines
CHEMBL2362016,CHEMBL931518,CHEMBL6035,specific,"['O89049', 'Q5U344', 'Q9JKZ3', 'Q9JKZ4', 'Q9R1I3']",,,,,,,,,,,,,,,,,,,,,,,,AML,1,541
CHEMBL2362016,CHEMBL931519,CHEMBL6035,specific,"['O89049', 'Q5U344', 'Q9JKZ3', 'Q9JKZ4', 'Q9R1I3']",,,,,,,,,,,,,,,,,,,,,,,,AML,1,541
CHEMBL2362016,CHEMBL931520,CHEMBL6035,specific,"['O89049', 'Q5U344', 'Q9JKZ3', 'Q9JKZ4', 'Q9R1I3']",,,,,,,,,,,,,,,,,,,,,,,,AML,1,541
CHEMBL2362016,CHEMBL1614544,CHEMBL1293235,specific,"['B4DI32', 'D3DVB0', 'D6RAQ3', 'E7EUI9', 'P02545', 'P02546', 'Q5I6Y4', 'Q5I6Y6', 'Q5TCJ2', 'Q5TCJ3', 'Q6UYC3', 'Q969I8', 'Q96JA2']",P02545,['LMNA'],0.1862904215523707,,,0.3039653988058105,,,,,,,,0.0493639807660636,,,,,,,,,,AML,1,Not AML cell lines
CHEMBL2362016,CHEMBL1697722,CHEMBL1697861,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL1697730,CHEMBL1697861,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL1794345,CHEMBL364,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL1794580,CHEMBL364,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL1909307,CHEMBL1697861,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL1909308,CHEMBL1697861,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL1909309,CHEMBL1697861,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL1909310,CHEMBL1697861,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL1909311,CHEMBL1697861,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL1909312,CHEMBL1697861,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL1909313,CHEMBL1697861,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL1909314,CHEMBL1697861,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL1909315,CHEMBL1697861,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL1909316,CHEMBL1697861,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL1909317,CHEMBL1697861,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL1909318,CHEMBL1697861,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL1909319,CHEMBL1697861,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL1909320,CHEMBL1697861,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL1964081,CHEMBL2007624,specific,['P25094'],,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
CHEMBL2362016,CHEMBL2354221,CHEMBL1075138,specific,"['Q2HXX4', 'Q86TV8', 'Q96BK7', 'Q9NUW8', 'Q9NZM7', 'Q9NZM8']",Q9NUW8,['TDP1'],0.0014783194187388,,,,,,,,,,,0.0121586159522324,,,,,,,,,,AML,1,Not AML cell lines
CHEMBL2362016,CHEMBL2354254,CHEMBL1075138,specific,"['Q2HXX4', 'Q86TV8', 'Q96BK7', 'Q9NUW8', 'Q9NZM7', 'Q9NZM8']",Q9NUW8,['TDP1'],0.0014783194187388,,,,,,,,,,,0.0121586159522324,,,,,,,,,,AML,1,Not AML cell lines
CHEMBL2362016,CHEMBL3215169,CHEMBL612545,specific,no_uni_id!,,,,,,,,,,,,,,,,,,,,,,,,AML,0,Not AML cell lines
