disease_focused,assay_importance,parent_compound_chembl_id,parent_compound_specificity,assay_chembl_id,assay_cluster,target_chembl_id,target_uniprot_ids,OT_uniprot_id,OT_symbol,OT_overall_score
AML,2,CHEMBL1489,acceptable,CHEMBL1909088,99,CHEMBL1867,"['B0LPF6', 'P08913', 'Q2I8G2', 'Q2XN99', 'Q86TH8', 'Q9BZK1']",P08913,['ADRA2A'],0.0014783194187388
AML,2,CHEMBL178,acceptable,CHEMBL1909088,99,CHEMBL1867,"['B0LPF6', 'P08913', 'Q2I8G2', 'Q2XN99', 'Q86TH8', 'Q9BZK1']",P08913,['ADRA2A'],0.0014783194187388
AML,2,CHEMBL803,acceptable,CHEMBL1909088,99,CHEMBL1867,"['B0LPF6', 'P08913', 'Q2I8G2', 'Q2XN99', 'Q86TH8', 'Q9BZK1']",P08913,['ADRA2A'],0.0014783194187388
AML,2,CHEMBL384467,acceptable,CHEMBL1909088,99,CHEMBL1867,"['B0LPF6', 'P08913', 'Q2I8G2', 'Q2XN99', 'Q86TH8', 'Q9BZK1']",P08913,['ADRA2A'],0.0014783194187388
AML,2,CHEMBL1117,specific,CHEMBL1909088,99,CHEMBL1867,"['B0LPF6', 'P08913', 'Q2I8G2', 'Q2XN99', 'Q86TH8', 'Q9BZK1']",P08913,['ADRA2A'],0.0014783194187388
AML,2,CHEMBL635,acceptable,CHEMBL1909088,99,CHEMBL1867,"['B0LPF6', 'P08913', 'Q2I8G2', 'Q2XN99', 'Q86TH8', 'Q9BZK1']",P08913,['ADRA2A'],0.0014783194187388
AML,2,CHEMBL727,specific,CHEMBL1909088,99,CHEMBL1867,"['B0LPF6', 'P08913', 'Q2I8G2', 'Q2XN99', 'Q86TH8', 'Q9BZK1']",P08913,['ADRA2A'],0.0014783194187388
AML,2,CHEMBL1489,acceptable,CHEMBL1909090,98,CHEMBL1916,"['P18825', 'P35369', 'Q9HB49']",P18825,['ADRA2C'],0.0060980676022975
AML,2,CHEMBL178,acceptable,CHEMBL1909090,98,CHEMBL1916,"['P18825', 'P35369', 'Q9HB49']",P18825,['ADRA2C'],0.0060980676022975
AML,2,CHEMBL803,acceptable,CHEMBL1909090,98,CHEMBL1916,"['P18825', 'P35369', 'Q9HB49']",P18825,['ADRA2C'],0.0060980676022975
AML,2,CHEMBL384467,acceptable,CHEMBL1909090,98,CHEMBL1916,"['P18825', 'P35369', 'Q9HB49']",P18825,['ADRA2C'],0.0060980676022975
AML,2,CHEMBL1117,specific,CHEMBL1909090,98,CHEMBL1916,"['P18825', 'P35369', 'Q9HB49']",P18825,['ADRA2C'],0.0060980676022975
AML,2,CHEMBL635,acceptable,CHEMBL1909090,98,CHEMBL1916,"['P18825', 'P35369', 'Q9HB49']",P18825,['ADRA2C'],0.0060980676022975
AML,2,CHEMBL727,specific,CHEMBL1909090,98,CHEMBL1916,"['P18825', 'P35369', 'Q9HB49']",P18825,['ADRA2C'],0.0060980676022975
AML,2,CHEMBL178,acceptable,CHEMBL1908291,97,CHEMBL4302,"['A8K294', 'B5AK60', 'P08183', 'Q12755', 'Q14812']",P08183,['ABCB1'],0.4353879857172995
AML,2,CHEMBL384467,acceptable,CHEMBL1908291,97,CHEMBL4302,"['A8K294', 'B5AK60', 'P08183', 'Q12755', 'Q14812']",P08183,['ABCB1'],0.4353879857172995
AML,2,CHEMBL178,acceptable,CHEMBL662786,570,CHEMBL333,"['B2R6U1', 'B4DWH3', 'E9PE45', 'P08253', 'Q9UCJ8']",P08253,['MMP2'],0.0547158118229668
AML,2,CHEMBL384467,acceptable,CHEMBL763130,559,CHEMBL208,"['A7LQ08', 'A7X8B0', 'B4E3T0', 'P06401', 'Q8TDS3', 'Q9UPF7']",P06401,['PGR'],0.0421298013528913
AML,2,CHEMBL384467,acceptable,CHEMBL685134,557,CHEMBL2034,"['A0ZXF9', 'B0LPG8', 'D3DQF4', 'F5ATB7', 'P04150', 'P04151', 'Q53EP5', 'Q6N0A4']",P04150,['NR3C1'],0.4249963348393475
AML,2,CHEMBL384467,acceptable,CHEMBL729178,557,CHEMBL1994,"['B0ZBF5', 'B0ZBF7', 'P08235', 'Q2NKL1', 'Q96KQ8', 'Q96KQ9']",P08235,['NR3C2'],0.0719923641938726
AML,2,CHEMBL1489,acceptable,CHEMBL1909158,551,CHEMBL402,"['B7Z3Y9', 'P04035', 'Q8N190']",P04035,['HMGCR'],0.0576569297591057
AML,2,CHEMBL178,acceptable,CHEMBL1909158,551,CHEMBL402,"['B7Z3Y9', 'P04035', 'Q8N190']",P04035,['HMGCR'],0.0576569297591057
AML,2,CHEMBL803,acceptable,CHEMBL1909158,551,CHEMBL402,"['B7Z3Y9', 'P04035', 'Q8N190']",P04035,['HMGCR'],0.0576569297591057
AML,2,CHEMBL384467,acceptable,CHEMBL1909158,551,CHEMBL402,"['B7Z3Y9', 'P04035', 'Q8N190']",P04035,['HMGCR'],0.0576569297591057
AML,2,CHEMBL1117,specific,CHEMBL1909158,551,CHEMBL402,"['B7Z3Y9', 'P04035', 'Q8N190']",P04035,['HMGCR'],0.0576569297591057
AML,2,CHEMBL635,acceptable,CHEMBL1909158,551,CHEMBL402,"['B7Z3Y9', 'P04035', 'Q8N190']",P04035,['HMGCR'],0.0576569297591057
AML,2,CHEMBL727,specific,CHEMBL1909158,551,CHEMBL402,"['B7Z3Y9', 'P04035', 'Q8N190']",P04035,['HMGCR'],0.0576569297591057
AML,2,CHEMBL1489,acceptable,CHEMBL1909207,550,CHEMBL3243,"['A0A0A0MT22', 'A8K7W6', 'P08575', 'Q16614', 'Q9H0Y6', 'X6R433']",P08575,['PTPRC'],0.3171467116814973
AML,2,CHEMBL178,acceptable,CHEMBL1909207,550,CHEMBL3243,"['A0A0A0MT22', 'A8K7W6', 'P08575', 'Q16614', 'Q9H0Y6', 'X6R433']",P08575,['PTPRC'],0.3171467116814973
AML,2,CHEMBL803,acceptable,CHEMBL1909207,550,CHEMBL3243,"['A0A0A0MT22', 'A8K7W6', 'P08575', 'Q16614', 'Q9H0Y6', 'X6R433']",P08575,['PTPRC'],0.3171467116814973
AML,2,CHEMBL384467,acceptable,CHEMBL1909207,550,CHEMBL3243,"['A0A0A0MT22', 'A8K7W6', 'P08575', 'Q16614', 'Q9H0Y6', 'X6R433']",P08575,['PTPRC'],0.3171467116814973
