parent_compound_id,target_id,target_uniprot_ids,compound_specificity
CHEMBL1489,CHEMBL2362975,no_uni_id!,acceptable
CHEMBL1489,CHEMBL2094118,"['B0LPE2', 'P08588', 'Q5T5Y4', 'Q9UKG7', 'Q9UKG8']",acceptable
CHEMBL1489,CHEMBL386,no_uni_id!,acceptable
CHEMBL1489,CHEMBL384,no_uni_id!,acceptable
CHEMBL1489,CHEMBL389,no_uni_id!,acceptable
CHEMBL1489,CHEMBL612565,no_uni_id!,acceptable
CHEMBL1489,CHEMBL614515,no_uni_id!,acceptable
CHEMBL1489,CHEMBL3879801,no_uni_id!,acceptable
CHEMBL1489,CHEMBL387,no_uni_id!,acceptable
CHEMBL1489,CHEMBL1951,"['B4DF46', 'P21397', 'Q16426']",acceptable
CHEMBL1489,CHEMBL2039,"['B2R6R3', 'B7Z5H3', 'D3DWC3', 'P27338', 'Q7Z6S2']",acceptable
CHEMBL1489,CHEMBL612545,no_uni_id!,acceptable
CHEMBL1489,CHEMBL614696,no_uni_id!,acceptable
CHEMBL1489,CHEMBL1293298,"['Q01453', 'Q8WV01']",acceptable
CHEMBL1489,CHEMBL1293235,"['B4DI32', 'D3DVB0', 'D6RAQ3', 'E7EUI9', 'P02545', 'P02546', 'Q5I6Y4', 'Q5I6Y6', 'Q5TCJ2', 'Q5TCJ3', 'Q6UYC3', 'Q969I8', 'Q96JA2']",acceptable
CHEMBL1489,CHEMBL3577,"['O00768', 'P00352', 'Q5SYR1']",acceptable
CHEMBL1489,CHEMBL1293237,"['P54132', 'Q52M96']",acceptable
CHEMBL1489,CHEMBL2026,"['P00811', 'Q2M6F2']",acceptable
CHEMBL1489,CHEMBL2842,"['P42345', 'Q4LE76', 'Q5TER1', 'Q6LE87', 'Q96QG3', 'Q9Y4I3']",acceptable
CHEMBL1489,CHEMBL3251,"['A8K5Y5', 'B3KVE8', 'P19838', 'Q68D84', 'Q86V43', 'Q8N4X7', 'Q9NZC0']",acceptable
CHEMBL1489,CHEMBL4331,"['A4GX73', 'B2ZUE0', 'P02023', 'P68871', 'Q13852', 'Q14481', 'Q14510', 'Q45KT0', 'Q549N7', 'Q6FI08', 'Q6R7N2', 'Q8IZI1', 'Q9BX96', 'Q9UCD6', 'Q9UCP8', 'Q9UCP9']",acceptable
CHEMBL1489,CHEMBL5514,"['P42858', 'Q9UQB7']",acceptable
CHEMBL1489,CHEMBL4096,"['P04637', 'Q15086', 'Q15087', 'Q15088', 'Q16535', 'Q16807', 'Q16808', 'Q16809', 'Q16810', 'Q16811', 'Q16848', 'Q2XN98', 'Q3LRW1', 'Q3LRW2', 'Q3LRW3', 'Q3LRW4', 'Q3LRW5', 'Q86UG1', 'Q8J016', 'Q99659', 'Q9BTM4', 'Q9HAQ8', 'Q9NP68', 'Q9NPJ2', 'Q9NZD0', 'Q9UBI2', 'Q9UQ61']",acceptable
CHEMBL1489,CHEMBL276,['P08482'],acceptable
CHEMBL1489,CHEMBL1293256,"['A1L3Y0', 'B7ZLR8', 'B9EGA8', 'P40225', 'Q13020', 'Q15790', 'Q15791', 'Q15792']",acceptable
CHEMBL1489,CHEMBL5619,"['P27695', 'Q969L5', 'Q99775']",acceptable
CHEMBL1489,CHEMBL1293294,"['A8K390', 'P51151', 'Q6ICN1']",acceptable
CHEMBL1489,CHEMBL1293278,"['B3KMM8', 'O75496', 'Q9H1Z1']",acceptable
CHEMBL1489,CHEMBL612558,no_uni_id!,acceptable
CHEMBL1489,CHEMBL1697861,no_uni_id!,acceptable
CHEMBL1489,CHEMBL1741220,"['D3DPA8', 'Q96EA1', 'Q96SQ8', 'Q9P252', 'Q9UIF8', 'Q9Y4N8']",acceptable
CHEMBL1489,CHEMBL1741209,"['Q05DH0', 'Q69YR6', 'Q96QE3', 'Q9H9I1']",acceptable
CHEMBL1489,CHEMBL1075094,"['B2RBU2', 'B4E338', 'E9PGJ7', 'Q16236', 'Q53RW6', 'Q59HH2', 'Q96F71']",acceptable
CHEMBL1489,CHEMBL6032,"['B0UZY2', 'Q14349', 'Q5JP83', 'Q5JQ92', 'Q5JQA1', 'Q5JQG3', 'Q6PK06', 'Q96KQ7', 'Q96MH5', 'Q96QD0', 'Q9UQL8', 'Q9Y331']",acceptable
CHEMBL1489,CHEMBL5501,"['Q8N1A2', 'Q92830', 'Q9UCW1']",acceptable
CHEMBL1489,CHEMBL5686,['O15648'],acceptable
CHEMBL1489,CHEMBL235,"['A8K3G6', 'B5BUA1', 'O00684', 'O00710', 'O14515', 'P37231', 'Q0QJH8', 'Q15178', 'Q15179', 'Q15180', 'Q15832', 'Q86U60', 'Q96J12']",acceptable
CHEMBL1489,CHEMBL206,"['P03372', 'Q13511', 'Q14276', 'Q5T5H7', 'Q6MZQ9', 'Q9NU51', 'Q9UDZ7', 'Q9UIS7']",acceptable
CHEMBL1489,CHEMBL1795085,"['A6NLD4', 'Q24JQ7', 'Q6ZQZ7', 'Q99493', 'Q99700']",acceptable
CHEMBL1489,CHEMBL2061,"['B3KY83', 'P19793', 'Q2NL52', 'Q2V504']",acceptable
CHEMBL1489,CHEMBL614818,no_uni_id!,acceptable
CHEMBL1489,CHEMBL1871,"['A0A0B4J1T2', 'A2RUN2', 'B1AKD7', 'C0JKD3', 'C0JKD4', 'E7EVX6', 'P10275', 'Q9UD95']",acceptable
CHEMBL1489,CHEMBL1977,"['B2R5Q1', 'G3V1V9', 'P11473', 'Q5PSV3']",acceptable
CHEMBL1489,CHEMBL614910,no_uni_id!,acceptable
CHEMBL1489,CHEMBL2034,"['A0ZXF9', 'B0LPG8', 'D3DQF4', 'F5ATB7', 'P04150', 'P04151', 'Q53EP5', 'Q6N0A4']",acceptable
CHEMBL1489,CHEMBL364,no_uni_id!,acceptable
CHEMBL1489,CHEMBL1741193,"['P23197', 'P83916']",acceptable
