CHEMBL2362016_target_id,CHEMBL2362016_target_uni_ids,CHEMBL2043437_target_id,CHEMBL2043437_target_uni_ids,CHEMBL3989908_target_id,CHEMBL3989908_target_uni_ids,CHEMBL1201506_target_id,CHEMBL1201506_target_uni_ids,CHEMBL3301622_target_id,CHEMBL3301622_target_uni_ids,CHEMBL1117_target_id,CHEMBL1117_target_uni_ids,CHEMBL608533_target_id,CHEMBL608533_target_uni_ids,CHEMBL4297610_target_id,CHEMBL4297610_target_uni_ids,CHEMBL576982_target_id,CHEMBL576982_target_uni_ids,CHEMBL727_target_id,CHEMBL727_target_uni_ids
CHEMBL6035,"['O89049', 'Q5U344', 'Q9JKZ3', 'Q9JKZ4', 'Q9R1I3']",CHEMBL6080,['P56726'],CHEMBL4303835,no_uni_id!,CHEMBL3879801,no_uni_id!,CHEMBL2041,"['A8K6Z2', 'P07949', 'Q15250', 'Q9BTB0', 'Q9H4A2']",CHEMBL385,no_uni_id!,CHEMBL1862,"['A3KFJ3', 'P00519', 'Q13869', 'Q13870', 'Q16133', 'Q17R61', 'Q45F09']",CHEMBL2362975,no_uni_id!,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",CHEMBL614294,no_uni_id!
CHEMBL2403,"['O95840', 'Q96IJ2', 'Q9H2Z5', 'Q9NNW7', 'Q9NZV3', 'Q9NZV4', 'Q9P2Y0', 'Q9P2Y1', 'Q9UQU8']",CHEMBL2362975,no_uni_id!,CHEMBL612545,no_uni_id!,CHEMBL612545,no_uni_id!,CHEMBL5568,"['P08922', 'Q15368', 'Q5TDB5']",CHEMBL372,no_uni_id!,CHEMBL5466,"['Q13705', 'Q4VAV0']",CHEMBL2007625,"['O75874', 'Q567U4', 'Q6FHQ6', 'Q7Z3V0', 'Q93090', 'Q9NTJ9', 'Q9UKW8']",CHEMBL613835,no_uni_id!,CHEMBL386,no_uni_id!
CHEMBL612545,no_uni_id!,CHEMBL613373,no_uni_id!,CHEMBL3991501,"['B2R6L6', 'B4DFL2', 'P48735', 'Q96GT3']",,,CHEMBL4247,"['A6P4T4', 'A6P4V4', 'Q4ZFX9', 'Q53QQ6', 'Q53RZ4', 'Q59FI3', 'Q9UM73', 'Q9Y4K6']",CHEMBL3681,"['B1AX52', 'Q64133', 'Q8K0Z8']",CHEMBL4045,"['A8MTQ6', 'B2R7E1', 'O00286', 'Q13131', 'Q5D0E1', 'Q86VS1', 'Q9UNQ4']",CHEMBL612558,no_uni_id!,CHEMBL1936,"['B5A956', 'D5LXN2', 'D5M931', 'F5H8F8', 'P10721', 'Q6IQ28', 'Q99662', 'Q9UM99']",CHEMBL375,no_uni_id!
CHEMBL387,no_uni_id!,CHEMBL612558,no_uni_id!,CHEMBL372,no_uni_id!,,,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",CHEMBL3050,"['Q14CG9', 'Q8BW75', 'Q8C0B2']",CHEMBL2116,"['P54646', 'Q9H1E8', 'Q9UD43']",CHEMBL3991501,"['B2R6L6', 'B4DFL2', 'P48735', 'Q96GT3']",CHEMBL2007,"['B2RE69', 'E9PBH0', 'P16234', 'Q6P4H5', 'Q96KZ7', 'Q9UD28']",CHEMBL376,no_uni_id!
CHEMBL1927,"['B7Z1F4', 'B7Z3Y8', 'B7Z904', 'E9PMY9', 'F5H780', 'Q16881', 'Q6FI31', 'Q6VB40', 'Q6VB41', 'Q6VB42', 'Q6VBP2', 'Q6VBP3', 'Q6VBP4', 'Q6VBP5', 'Q6VBP9', 'Q6VBQ0', 'Q6YNQ1', 'Q76P53', 'Q7LA96', 'Q8WVC8', 'Q99475', 'Q9UES8', 'Q9UH79']",CHEMBL3356,"['P05177', 'Q16754', 'Q6NWU3', 'Q6NWU5', 'Q9BXX7', 'Q9UK49']",CHEMBL2007625,"['O75874', 'Q567U4', 'Q6FHQ6', 'Q7Z3V0', 'Q93090', 'Q9NTJ9', 'Q9UKW8']",,,CHEMBL4895,"['P30530', 'Q8N5L2', 'Q9UD27']",CHEMBL2362975,no_uni_id!,CHEMBL5784,"['A7MD39', 'O60285', 'Q96KA8']",CHEMBL375,no_uni_id!,CHEMBL1913,"['B5A957', 'P09619', 'Q8N5L4']",CHEMBL3879801,no_uni_id!
CHEMBL1293235,"['B4DI32', 'D3DVB0', 'D6RAQ3', 'E7EUI9', 'P02545', 'P02546', 'Q5I6Y4', 'Q5I6Y6', 'Q5TCJ2', 'Q5TCJ3', 'Q6UYC3', 'Q969I8', 'Q96JA2']",CHEMBL3721,"['A8K9N8', 'B0AZN2', 'B7Z1F6', 'P10632', 'Q5VX93', 'Q8WWB1', 'Q9UCZ9']",CHEMBL612558,no_uni_id!,,,CHEMBL3830,"['Q2M2I8', 'Q4ZFZ3', 'Q53RX6', 'Q9UPV4']",CHEMBL612545,no_uni_id!,CHEMBL5258,"['Q86UH5', 'Q96NX5', 'Q9Y3J7']",CHEMBL612545,no_uni_id!,CHEMBL2041,"['A8K6Z2', 'P07949', 'Q15250', 'Q9BTB0', 'Q9H4A2']",CHEMBL612545,no_uni_id!
CHEMBL1697861,no_uni_id!,CHEMBL3397,"['P11712', 'P11713', 'Q16756', 'Q16872', 'Q5VX92', 'Q6IRV8', 'Q8WW80']",CHEMBL4523582,['P0DTD1'],,,CHEMBL1862,"['A3KFJ3', 'P00519', 'Q13869', 'Q13870', 'Q16133', 'Q17R61', 'Q45F09']",CHEMBL364,no_uni_id!,CHEMBL2494,"['D3DSZ7', 'Q16566']",,,CHEMBL1844,"['B5A955', 'D3DQG2', 'P07333', 'Q6LDW5', 'Q6LDY4', 'Q86VW7']",CHEMBL364,no_uni_id!
CHEMBL364,no_uni_id!,CHEMBL3622,"['P33259', 'P33261', 'Q8WZB1', 'Q8WZB2', 'Q9UCD4']",,,,,CHEMBL4014,"['A0M8X0', 'B7UEF2', 'B7UEF3', 'B7UEF4', 'B7UEF5', 'P42684', 'Q5T0X6', 'Q5W0C5', 'Q6NZY6', 'Q7Z301']",CHEMBL3879801,no_uni_id!,CHEMBL3123,"['E9JGM7', 'O75892', 'Q24JS1', 'Q9UIK4']",,,CHEMBL1868,"['A3E342', 'A3E344', 'A8KA71', 'B0LPF1', 'B2BF46', 'B2BF47', 'B2BF48', 'B3FR89', 'B5A923', 'F5H5L6', 'O60722', 'P16057', 'P17948', 'Q12954']",CHEMBL2360,"['A6NHF0', 'B2R8M9', 'P00492']"
CHEMBL2007624,['P25094'],CHEMBL289,"['P10635', 'Q16752', 'Q2XND6', 'Q2XND7', 'Q2XNE0', 'Q6B012', 'Q6NXU8']",,,,,CHEMBL4105816,"['G3XAJ0', 'Q6JQN1', 'Q8N828', 'Q8NAP2', 'Q96BX5']",CHEMBL1293237,"['P54132', 'Q52M96']",CHEMBL5122,"['Q16832', 'Q7Z730']",,,CHEMBL1955,"['A8K6L4', 'B5A926', 'P35916', 'Q16067', 'Q86W07', 'Q86W08']",CHEMBL397,no_uni_id!
CHEMBL1075138,"['Q2HXX4', 'Q86TV8', 'Q96BK7', 'Q9NUW8', 'Q9NZM7', 'Q9NZM8']",CHEMBL340,"['P05184', 'P08684', 'Q16757', 'Q9UK50']",,,,,CHEMBL4105707,"['Q08AF0', 'Q658N9', 'Q658Y2', 'Q6ZND2', 'Q709F0', 'Q8WUT6', 'Q9H9R3']",CHEMBL5313,"['O70462', 'P38532']",CHEMBL2468,"['A0AVN4', 'B3KQE2', 'O43293', 'Q05JY4']",,,CHEMBL5319,"['B5A975', 'B5A976', 'B7Z2K0', 'Q08345', 'Q14196', 'Q16562', 'Q2L6H3', 'Q4LE50', 'Q5ST11', 'Q5ST12', 'Q6NSK4', 'Q9UD35', 'Q9UD36', 'Q9UD37', 'Q9UD86', 'Q9UDL2']",CHEMBL4860,"['C9JHD5', 'P10415', 'P10416', 'Q13842', 'Q16197']"
