CHEMBL1489_target_id,CHEMBL1489_target_uni_ids,CHEMBL178_target_id,CHEMBL178_target_uni_ids,CHEMBL803_target_id,CHEMBL803_target_uni_ids,CHEMBL384467_target_id,CHEMBL384467_target_uni_ids,CHEMBL635_target_id,CHEMBL635_target_uni_ids,CHEMBL1201576_target_id,CHEMBL1201576_target_uni_ids,CHEMBL3137309_target_id,CHEMBL3137309_target_uni_ids
CHEMBL2362975,no_uni_id!,CHEMBL614516,no_uni_id!,CHEMBL613859,no_uni_id!,CHEMBL312,['P12527'],CHEMBL612558,no_uni_id!,CHEMBL3879801,no_uni_id!,CHEMBL3879801,no_uni_id!
CHEMBL2094118,"['B0LPE2', 'P08588', 'Q5T5Y4', 'Q9UKG7', 'Q9UKG8']",CHEMBL614514,no_uni_id!,CHEMBL2362975,no_uni_id!,CHEMBL612558,no_uni_id!,CHEMBL2362975,no_uni_id!,CHEMBL612545,no_uni_id!,CHEMBL4860,"['C9JHD5', 'P10415', 'P10416', 'Q13842', 'Q16197']"
CHEMBL386,no_uni_id!,CHEMBL2362975,no_uni_id!,CHEMBL614270,no_uni_id!,CHEMBL2362975,no_uni_id!,CHEMBL3253,"['E7ESS9', 'O95574', 'P02768', 'P04277', 'Q13140', 'Q645G4', 'Q68DN5', 'Q6UXK4', 'Q86YG0', 'Q8IUK7', 'Q9P157', 'Q9P1I7', 'Q9UHS3', 'Q9UJZ0']",,,CHEMBL4625,"['E1P5L6', 'Q07817', 'Q5CZ89', 'Q5TE65', 'Q92976']"
CHEMBL384,no_uni_id!,CHEMBL612558,no_uni_id!,CHEMBL381,no_uni_id!,CHEMBL372,no_uni_id!,CHEMBL613294,no_uni_id!,,,CHEMBL4361,"['B2R6B2', 'D3DV03', 'D3DV04', 'Q07820', 'Q9HD91', 'Q9NRQ3', 'Q9NRQ4', 'Q9UHR7', 'Q9UHR8', 'Q9UHR9', 'Q9UNJ1']"
CHEMBL389,no_uni_id!,CHEMBL345,no_uni_id!,CHEMBL2094118,"['B0LPE2', 'P08588', 'Q5T5Y4', 'Q9UKG7', 'Q9UKG8']",CHEMBL2034,"['A0ZXF9', 'B0LPG8', 'D3DQF4', 'F5ATB7', 'P04150', 'P04151', 'Q53EP5', 'Q6N0A4']",CHEMBL376,no_uni_id!,,,CHEMBL4677,"['A8K0F4', 'Q2M3U0', 'Q5U0H4', 'Q92843']"
CHEMBL612565,no_uni_id!,CHEMBL2366220,no_uni_id!,CHEMBL614528,no_uni_id!,CHEMBL1871,"['A0A0B4J1T2', 'A2RUN2', 'B1AKD7', 'C0JKD3', 'C0JKD4', 'E7EVX6', 'P10275', 'Q9UD95']",CHEMBL372,no_uni_id!,,,CHEMBL2366159,no_uni_id!
CHEMBL614515,no_uni_id!,CHEMBL381,no_uni_id!,CHEMBL614359,no_uni_id!,CHEMBL3072,"['P15207', 'Q63049']",CHEMBL5685,"['A6NFF3', 'A8K1H2', 'C9JSU6', 'O15245', 'O15395', 'Q9NQD4']",,,CHEMBL612545,no_uni_id!
CHEMBL3879801,no_uni_id!,CHEMBL613070,no_uni_id!,CHEMBL614067,no_uni_id!,CHEMBL3069,"['O35627', 'O35628', 'Q3V008']",CHEMBL5748,"['B2RMT8', 'Q14022', 'Q5T2B1', 'Q92500', 'Q92798', 'Q92887', 'Q99663', 'Q9UMS2']",,,CHEMBL4296391,no_uni_id!
CHEMBL387,no_uni_id!,CHEMBL359,no_uni_id!,CHEMBL382,no_uni_id!,CHEMBL340,"['P05184', 'P08684', 'Q16757', 'Q9UK50']",CHEMBL613652,no_uni_id!,,,CHEMBL2362975,no_uni_id!
CHEMBL1951,"['B4DF46', 'P21397', 'Q16426']",CHEMBL382,no_uni_id!,CHEMBL387,no_uni_id!,CHEMBL2093866,"['A8K8K5', 'G3V5M5', 'O60608', 'O60685', 'O60702', 'O60703', 'O75583', 'O75584', 'Q0MWT5', 'Q0MWT6', 'Q86Z31', 'Q92731', 'Q9UEV6', 'Q9UHD3', 'Q9UQK9']",CHEMBL6110,['Q962Y6'],,,CHEMBL614177,no_uni_id!
CHEMBL2039,"['B2R6R3', 'B7Z5H3', 'D3DWC3', 'P27338', 'Q7Z6S2']",CHEMBL613853,no_uni_id!,CHEMBL614539,no_uni_id!,CHEMBL3368,"['O08624', 'P06536', 'Q8R463', 'Q8R5J0']",CHEMBL3577,"['O00768', 'P00352', 'Q5SYR1']",,,CHEMBL4296505,no_uni_id!
CHEMBL612545,no_uni_id!,CHEMBL614536,no_uni_id!,CHEMBL614541,no_uni_id!,CHEMBL369,no_uni_id!,CHEMBL4261,"['C0LZJ3', 'Q16665', 'Q53XP6', 'Q96PT9', 'Q9UPB1']",,,CHEMBL4303835,no_uni_id!
CHEMBL614696,no_uni_id!,CHEMBL3879801,no_uni_id!,CHEMBL613853,no_uni_id!,CHEMBL3253,"['E7ESS9', 'O95574', 'P02768', 'P04277', 'Q13140', 'Q645G4', 'Q68DN5', 'Q6UXK4', 'Q86YG0', 'Q8IUK7', 'Q9P157', 'Q9P1I7', 'Q9UHS3', 'Q9UJZ0']",CHEMBL2093861,"['A5HBC6', 'A5HBC7', 'A5HBC8', 'A5HBC9', 'A5HBD0', 'A5HBD1', 'A5HBD2', 'O00255', 'O00632', 'Q9BUF0', 'Q9BUK2']",,,CHEMBL614882,no_uni_id!
CHEMBL1293298,"['Q01453', 'Q8WV01']",CHEMBL612545,no_uni_id!,CHEMBL614800,no_uni_id!,CHEMBL614123,no_uni_id!,CHEMBL4159,"['Q5H927', 'Q6IBS9', 'Q8TCV9', 'Q96HD5', 'Q99714']",,,CHEMBL2366315,no_uni_id!
CHEMBL1293235,"['B4DI32', 'D3DVB0', 'D6RAQ3', 'E7EUI9', 'P02545', 'P02546', 'Q5I6Y4', 'Q5I6Y6', 'Q5TCJ2', 'Q5TCJ3', 'Q6UYC3', 'Q969I8', 'Q96JA2']",CHEMBL333,"['B2R6U1', 'B4DWH3', 'E9PE45', 'P08253', 'Q9UCJ8']",CHEMBL614285,no_uni_id!,CHEMBL375,no_uni_id!,CHEMBL1293231,"['E9Q8I1', 'P51450', 'Q3U513', 'Q61027', 'Q91YT5', 'Q9QXD9', 'Q9R177']",,,CHEMBL612558,no_uni_id!
CHEMBL3577,"['O00768', 'P00352', 'Q5SYR1']",CHEMBL612638,no_uni_id!,CHEMBL2110,"['P56389', 'Q9D7V3']",CHEMBL1994,"['B0ZBF5', 'B0ZBF7', 'P08235', 'Q2NKL1', 'Q96KQ8', 'Q96KQ9']",CHEMBL1075138,"['Q2HXX4', 'Q86TV8', 'Q96BK7', 'Q9NUW8', 'Q9NZM7', 'Q9NZM8']",,,CHEMBL4483260,no_uni_id!
CHEMBL1293237,"['P54132', 'Q52M96']",CHEMBL612514,no_uni_id!,CHEMBL4502,['P32320'],CHEMBL3507,"['P22199', 'Q63763', 'Q64174']",CHEMBL3879801,no_uni_id!,,,CHEMBL4523582,['P0DTD1']
CHEMBL2026,"['P00811', 'Q2M6F2']",CHEMBL4564,"['P00375', 'P70693', 'Q61485', 'Q61487', 'Q61579']",CHEMBL345,no_uni_id!,CHEMBL613516,no_uni_id!,CHEMBL1697861,no_uni_id!,,,CHEMBL383,no_uni_id!
CHEMBL2842,"['P42345', 'Q4LE76', 'Q5TER1', 'Q6LE87', 'Q96QG3', 'Q9Y4I3']",CHEMBL613827,no_uni_id!,CHEMBL2448,['P30648'],CHEMBL4302,"['A8K294', 'B5AK60', 'P08183', 'Q12755', 'Q14812']",CHEMBL612545,no_uni_id!,,,CHEMBL3706568,no_uni_id!
CHEMBL3251,"['A8K5Y5', 'B3KVE8', 'P19838', 'Q68D84', 'Q86V43', 'Q8N4X7', 'Q9NZC0']",CHEMBL614295,no_uni_id!,CHEMBL4760,['Q9XZT6'],CHEMBL2573,"['P21447', 'Q5I1Y5']",CHEMBL1075094,"['B2RBU2', 'B4E338', 'E9PGJ7', 'Q16236', 'Q53RW6', 'Q59HH2', 'Q96F71']",,,CHEMBL4680030,"['A0A0A0MSK8', 'A6NDF4', 'A6NHI2', 'B4DIC9', 'B4E2K4', 'B7ZM95', 'E5RGP5', 'F5H667', 'Q12797', 'Q6NXR7', 'Q8TB28', 'Q9H291', 'Q9H2C4', 'Q9NRI0', 'Q9NRI1', 'Q9Y4J0']"
